item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
50,liked,embed,local,1,d,rc_subj,number,teacher,bankers,hurt,himself,The teacher that the bankers liked hurt himself . <eos>,The teacher that the bankers liked hurt himself .
51,liked,embed,local,1,a,none,none,mechanic,teacher,injured,himself,The mechanic that the teacher liked injured himself . <eos>,The mechanic that the teacher liked injured himself .
51,liked,embed,local,1,b,none,none,teacher,mechanic,injured,himself,The teacher that the mechanic liked injured himself . <eos>,The teacher that the mechanic liked injured himself .
51,liked,embed,local,1,c,none,none,banker,teacher,injured,himself,The banker that the teacher liked injured himself . <eos>,The banker that the teacher liked injured himself .
51,liked,embed,local,1,d,none,none,teacher,banker,injured,himself,The teacher that the banker liked injured himself . <eos>,The teacher that the banker liked injured himself .
51,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,injured,himself,The mechanics that the teacher liked injured himself . <eos>,The mechanics that the teacher liked injured himself .
51,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,injured,himself,The teachers that the mechanic liked injured himself . <eos>,The teachers that the mechanic liked injured himself .
51,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,injured,himself,The bankers that the teacher liked injured himself . <eos>,The bankers that the teacher liked injured himself .
51,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,injured,himself,The teachers that the banker liked injured himself . <eos>,The teachers that the banker liked injured himself .
51,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,injured,himself,The mechanic that the teachers liked injured himself . <eos>,The mechanic that the teachers liked injured himself .
51,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,injured,himself,The teacher that the mechanics liked injured himself . <eos>,The teacher that the mechanics liked injured himself .
51,liked,embed,local,1,c,rc_subj,number,banker,teachers,injured,himself,The banker that the teachers liked injured himself . <eos>,The banker that the teachers liked injured himself .
51,liked,embed,local,1,d,rc_subj,number,teacher,bankers,injured,himself,The teacher that the bankers liked injured himself . <eos>,The teacher that the bankers liked injured himself .
52,liked,embed,local,1,a,none,none,mechanic,teacher,congratulated,himself,The mechanic that the teacher liked congratulated himself . <eos>,The mechanic that the teacher liked congratulated himself .
52,liked,embed,local,1,b,none,none,teacher,mechanic,congratulated,himself,The teacher that the mechanic liked congratulated himself . <eos>,The teacher that the mechanic liked congratulated himself .
52,liked,embed,local,1,c,none,none,banker,teacher,congratulated,himself,The banker that the teacher liked congratulated himself . <eos>,The banker that the teacher liked congratulated himself .
52,liked,embed,local,1,d,none,none,teacher,banker,congratulated,himself,The teacher that the banker liked congratulated himself . <eos>,The teacher that the banker liked congratulated himself .
52,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,congratulated,himself,The mechanics that the teacher liked congratulated himself . <eos>,The mechanics that the teacher liked congratulated himself .
52,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,congratulated,himself,The teachers that the mechanic liked congratulated himself . <eos>,The teachers that the mechanic liked congratulated himself .
52,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,congratulated,himself,The bankers that the teacher liked congratulated himself . <eos>,The bankers that the teacher liked congratulated himself .
52,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,congratulated,himself,The teachers that the banker liked congratulated himself . <eos>,The teachers that the banker liked congratulated himself .
52,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,congratulated,himself,The mechanic that the teachers liked congratulated himself . <eos>,The mechanic that the teachers liked congratulated himself .
52,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,congratulated,himself,The teacher that the mechanics liked congratulated himself . <eos>,The teacher that the mechanics liked congratulated himself .
52,liked,embed,local,1,c,rc_subj,number,banker,teachers,congratulated,himself,The banker that the teachers liked congratulated himself . <eos>,The banker that the teachers liked congratulated himself .
52,liked,embed,local,1,d,rc_subj,number,teacher,bankers,congratulated,himself,The teacher that the bankers liked congratulated himself . <eos>,The teacher that the bankers liked congratulated himself .
53,liked,embed,local,1,a,none,none,mechanic,teacher,embarrassed,himself,The mechanic that the teacher liked embarrassed himself . <eos>,The mechanic that the teacher liked embarrassed himself .
53,liked,embed,local,1,b,none,none,teacher,mechanic,embarrassed,himself,The teacher that the mechanic liked embarrassed himself . <eos>,The teacher that the mechanic liked embarrassed himself .
53,liked,embed,local,1,c,none,none,banker,teacher,embarrassed,himself,The banker that the teacher liked embarrassed himself . <eos>,The banker that the teacher liked embarrassed himself .
53,liked,embed,local,1,d,none,none,teacher,banker,embarrassed,himself,The teacher that the banker liked embarrassed himself . <eos>,The teacher that the banker liked embarrassed himself .
53,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,embarrassed,himself,The mechanics that the teacher liked embarrassed himself . <eos>,The mechanics that the teacher liked embarrassed himself .
53,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,embarrassed,himself,The teachers that the mechanic liked embarrassed himself . <eos>,The teachers that the mechanic liked embarrassed himself .
53,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,embarrassed,himself,The bankers that the teacher liked embarrassed himself . <eos>,The bankers that the teacher liked embarrassed himself .
53,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,embarrassed,himself,The teachers that the banker liked embarrassed himself . <eos>,The teachers that the banker liked embarrassed himself .
53,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,embarrassed,himself,The mechanic that the teachers liked embarrassed himself . <eos>,The mechanic that the teachers liked embarrassed himself .
53,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,embarrassed,himself,The teacher that the mechanics liked embarrassed himself . <eos>,The teacher that the mechanics liked embarrassed himself .
53,liked,embed,local,1,c,rc_subj,number,banker,teachers,embarrassed,himself,The banker that the teachers liked embarrassed himself . <eos>,The banker that the teachers liked embarrassed himself .
53,liked,embed,local,1,d,rc_subj,number,teacher,bankers,embarrassed,himself,The teacher that the bankers liked embarrassed himself . <eos>,The teacher that the bankers liked embarrassed himself .
54,liked,embed,local,1,a,none,none,mechanic,teacher,disguised,himself,The mechanic that the teacher liked disguised himself . <eos>,The mechanic that the teacher liked disguised himself .
54,liked,embed,local,1,b,none,none,teacher,mechanic,disguised,himself,The teacher that the mechanic liked disguised himself . <eos>,The teacher that the mechanic liked disguised himself .
54,liked,embed,local,1,c,none,none,banker,teacher,disguised,himself,The banker that the teacher liked disguised himself . <eos>,The banker that the teacher liked disguised himself .
54,liked,embed,local,1,d,none,none,teacher,banker,disguised,himself,The teacher that the banker liked disguised himself . <eos>,The teacher that the banker liked disguised himself .
54,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,disguised,himself,The mechanics that the teacher liked disguised himself . <eos>,The mechanics that the teacher liked disguised himself .
54,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,disguised,himself,The teachers that the mechanic liked disguised himself . <eos>,The teachers that the mechanic liked disguised himself .
54,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,disguised,himself,The bankers that the teacher liked disguised himself . <eos>,The bankers that the teacher liked disguised himself .
54,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,disguised,himself,The teachers that the banker liked disguised himself . <eos>,The teachers that the banker liked disguised himself .
54,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,disguised,himself,The mechanic that the teachers liked disguised himself . <eos>,The mechanic that the teachers liked disguised himself .
54,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,disguised,himself,The teacher that the mechanics liked disguised himself . <eos>,The teacher that the mechanics liked disguised himself .
54,liked,embed,local,1,c,rc_subj,number,banker,teachers,disguised,himself,The banker that the teachers liked disguised himself . <eos>,The banker that the teachers liked disguised himself .
54,liked,embed,local,1,d,rc_subj,number,teacher,bankers,disguised,himself,The teacher that the bankers liked disguised himself . <eos>,The teacher that the bankers liked disguised himself .
55,liked,embed,local,1,a,none,none,mechanic,teacher,hated,himself,The mechanic that the teacher liked hated himself . <eos>,The mechanic that the teacher liked hated himself .
55,liked,embed,local,1,b,none,none,teacher,mechanic,hated,himself,The teacher that the mechanic liked hated himself . <eos>,The teacher that the mechanic liked hated himself .
55,liked,embed,local,1,c,none,none,banker,teacher,hated,himself,The banker that the teacher liked hated himself . <eos>,The banker that the teacher liked hated himself .
55,liked,embed,local,1,d,none,none,teacher,banker,hated,himself,The teacher that the banker liked hated himself . <eos>,The teacher that the banker liked hated himself .
55,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,hated,himself,The mechanics that the teacher liked hated himself . <eos>,The mechanics that the teacher liked hated himself .
55,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,hated,himself,The teachers that the mechanic liked hated himself . <eos>,The teachers that the mechanic liked hated himself .
55,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,hated,himself,The bankers that the teacher liked hated himself . <eos>,The bankers that the teacher liked hated himself .
55,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,hated,himself,The teachers that the banker liked hated himself . <eos>,The teachers that the banker liked hated himself .
55,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,hated,himself,The mechanic that the teachers liked hated himself . <eos>,The mechanic that the teachers liked hated himself .
55,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,hated,himself,The teacher that the mechanics liked hated himself . <eos>,The teacher that the mechanics liked hated himself .
55,liked,embed,local,1,c,rc_subj,number,banker,teachers,hated,himself,The banker that the teachers liked hated himself . <eos>,The banker that the teachers liked hated himself .
55,liked,embed,local,1,d,rc_subj,number,teacher,bankers,hated,himself,The teacher that the bankers liked hated himself . <eos>,The teacher that the bankers liked hated himself .
56,liked,embed,local,1,a,none,none,mechanic,teacher,doubted,himself,The mechanic that the teacher liked doubted himself . <eos>,The mechanic that the teacher liked doubted himself .
56,liked,embed,local,1,b,none,none,teacher,mechanic,doubted,himself,The teacher that the mechanic liked doubted himself . <eos>,The teacher that the mechanic liked doubted himself .
56,liked,embed,local,1,c,none,none,banker,teacher,doubted,himself,The banker that the teacher liked doubted himself . <eos>,The banker that the teacher liked doubted himself .
56,liked,embed,local,1,d,none,none,teacher,banker,doubted,himself,The teacher that the banker liked doubted himself . <eos>,The teacher that the banker liked doubted himself .
56,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,teacher,doubted,himself,The mechanics that the teacher liked doubted himself . <eos>,The mechanics that the teacher liked doubted himself .
56,liked,embed,nonlocal,0,b,matrix_subj,number,teachers,mechanic,doubted,himself,The teachers that the mechanic liked doubted himself . <eos>,The teachers that the mechanic liked doubted himself .
56,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,teacher,doubted,himself,The bankers that the teacher liked doubted himself . <eos>,The bankers that the teacher liked doubted himself .
56,liked,embed,nonlocal,0,d,matrix_subj,number,teachers,banker,doubted,himself,The teachers that the banker liked doubted himself . <eos>,The teachers that the banker liked doubted himself .
56,liked,embed,local,1,a,rc_subj,number,mechanic,teachers,doubted,himself,The mechanic that the teachers liked doubted himself . <eos>,The mechanic that the teachers liked doubted himself .
56,liked,embed,local,1,b,rc_subj,number,teacher,mechanics,doubted,himself,The teacher that the mechanics liked doubted himself . <eos>,The teacher that the mechanics liked doubted himself .
56,liked,embed,local,1,c,rc_subj,number,banker,teachers,doubted,himself,The banker that the teachers liked doubted himself . <eos>,The banker that the teachers liked doubted himself .
56,liked,embed,local,1,d,rc_subj,number,teacher,bankers,doubted,himself,The teacher that the bankers liked doubted himself . <eos>,The teacher that the bankers liked doubted himself .
57,liked,embed,local,1,a,none,none,mechanic,senator,hurt,himself,The mechanic that the senator liked hurt himself . <eos>,The mechanic that the senator liked hurt himself .
57,liked,embed,local,1,b,none,none,senator,mechanic,hurt,himself,The senator that the mechanic liked hurt himself . <eos>,The senator that the mechanic liked hurt himself .
57,liked,embed,local,1,c,none,none,banker,senator,hurt,himself,The banker that the senator liked hurt himself . <eos>,The banker that the senator liked hurt himself .
57,liked,embed,local,1,d,none,none,senator,banker,hurt,himself,The senator that the banker liked hurt himself . <eos>,The senator that the banker liked hurt himself .
57,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,hurt,himself,The mechanics that the senator liked hurt himself . <eos>,The mechanics that the senator liked hurt himself .
57,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,hurt,himself,The senators that the mechanic liked hurt himself . <eos>,The senators that the mechanic liked hurt himself .
57,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,hurt,himself,The bankers that the senator liked hurt himself . <eos>,The bankers that the senator liked hurt himself .
57,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,hurt,himself,The senators that the banker liked hurt himself . <eos>,The senators that the banker liked hurt himself .
57,liked,embed,local,1,a,rc_subj,number,mechanic,senators,hurt,himself,The mechanic that the senators liked hurt himself . <eos>,The mechanic that the senators liked hurt himself .
57,liked,embed,local,1,b,rc_subj,number,senator,mechanics,hurt,himself,The senator that the mechanics liked hurt himself . <eos>,The senator that the mechanics liked hurt himself .
57,liked,embed,local,1,c,rc_subj,number,banker,senators,hurt,himself,The banker that the senators liked hurt himself . <eos>,The banker that the senators liked hurt himself .
57,liked,embed,local,1,d,rc_subj,number,senator,bankers,hurt,himself,The senator that the bankers liked hurt himself . <eos>,The senator that the bankers liked hurt himself .
58,liked,embed,local,1,a,none,none,mechanic,senator,injured,himself,The mechanic that the senator liked injured himself . <eos>,The mechanic that the senator liked injured himself .
58,liked,embed,local,1,b,none,none,senator,mechanic,injured,himself,The senator that the mechanic liked injured himself . <eos>,The senator that the mechanic liked injured himself .
58,liked,embed,local,1,c,none,none,banker,senator,injured,himself,The banker that the senator liked injured himself . <eos>,The banker that the senator liked injured himself .
58,liked,embed,local,1,d,none,none,senator,banker,injured,himself,The senator that the banker liked injured himself . <eos>,The senator that the banker liked injured himself .
58,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,injured,himself,The mechanics that the senator liked injured himself . <eos>,The mechanics that the senator liked injured himself .
58,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,injured,himself,The senators that the mechanic liked injured himself . <eos>,The senators that the mechanic liked injured himself .
58,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,injured,himself,The bankers that the senator liked injured himself . <eos>,The bankers that the senator liked injured himself .
58,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,injured,himself,The senators that the banker liked injured himself . <eos>,The senators that the banker liked injured himself .
58,liked,embed,local,1,a,rc_subj,number,mechanic,senators,injured,himself,The mechanic that the senators liked injured himself . <eos>,The mechanic that the senators liked injured himself .
58,liked,embed,local,1,b,rc_subj,number,senator,mechanics,injured,himself,The senator that the mechanics liked injured himself . <eos>,The senator that the mechanics liked injured himself .
58,liked,embed,local,1,c,rc_subj,number,banker,senators,injured,himself,The banker that the senators liked injured himself . <eos>,The banker that the senators liked injured himself .
58,liked,embed,local,1,d,rc_subj,number,senator,bankers,injured,himself,The senator that the bankers liked injured himself . <eos>,The senator that the bankers liked injured himself .
59,liked,embed,local,1,a,none,none,mechanic,senator,congratulated,himself,The mechanic that the senator liked congratulated himself . <eos>,The mechanic that the senator liked congratulated himself .
59,liked,embed,local,1,b,none,none,senator,mechanic,congratulated,himself,The senator that the mechanic liked congratulated himself . <eos>,The senator that the mechanic liked congratulated himself .
59,liked,embed,local,1,c,none,none,banker,senator,congratulated,himself,The banker that the senator liked congratulated himself . <eos>,The banker that the senator liked congratulated himself .
59,liked,embed,local,1,d,none,none,senator,banker,congratulated,himself,The senator that the banker liked congratulated himself . <eos>,The senator that the banker liked congratulated himself .
59,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,congratulated,himself,The mechanics that the senator liked congratulated himself . <eos>,The mechanics that the senator liked congratulated himself .
59,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,congratulated,himself,The senators that the mechanic liked congratulated himself . <eos>,The senators that the mechanic liked congratulated himself .
59,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,congratulated,himself,The bankers that the senator liked congratulated himself . <eos>,The bankers that the senator liked congratulated himself .
59,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,congratulated,himself,The senators that the banker liked congratulated himself . <eos>,The senators that the banker liked congratulated himself .
59,liked,embed,local,1,a,rc_subj,number,mechanic,senators,congratulated,himself,The mechanic that the senators liked congratulated himself . <eos>,The mechanic that the senators liked congratulated himself .
59,liked,embed,local,1,b,rc_subj,number,senator,mechanics,congratulated,himself,The senator that the mechanics liked congratulated himself . <eos>,The senator that the mechanics liked congratulated himself .
59,liked,embed,local,1,c,rc_subj,number,banker,senators,congratulated,himself,The banker that the senators liked congratulated himself . <eos>,The banker that the senators liked congratulated himself .
59,liked,embed,local,1,d,rc_subj,number,senator,bankers,congratulated,himself,The senator that the bankers liked congratulated himself . <eos>,The senator that the bankers liked congratulated himself .
60,liked,embed,local,1,a,none,none,mechanic,senator,embarrassed,himself,The mechanic that the senator liked embarrassed himself . <eos>,The mechanic that the senator liked embarrassed himself .
60,liked,embed,local,1,b,none,none,senator,mechanic,embarrassed,himself,The senator that the mechanic liked embarrassed himself . <eos>,The senator that the mechanic liked embarrassed himself .
60,liked,embed,local,1,c,none,none,banker,senator,embarrassed,himself,The banker that the senator liked embarrassed himself . <eos>,The banker that the senator liked embarrassed himself .
60,liked,embed,local,1,d,none,none,senator,banker,embarrassed,himself,The senator that the banker liked embarrassed himself . <eos>,The senator that the banker liked embarrassed himself .
60,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,embarrassed,himself,The mechanics that the senator liked embarrassed himself . <eos>,The mechanics that the senator liked embarrassed himself .
60,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,embarrassed,himself,The senators that the mechanic liked embarrassed himself . <eos>,The senators that the mechanic liked embarrassed himself .
60,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,embarrassed,himself,The bankers that the senator liked embarrassed himself . <eos>,The bankers that the senator liked embarrassed himself .
60,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,embarrassed,himself,The senators that the banker liked embarrassed himself . <eos>,The senators that the banker liked embarrassed himself .
60,liked,embed,local,1,a,rc_subj,number,mechanic,senators,embarrassed,himself,The mechanic that the senators liked embarrassed himself . <eos>,The mechanic that the senators liked embarrassed himself .
60,liked,embed,local,1,b,rc_subj,number,senator,mechanics,embarrassed,himself,The senator that the mechanics liked embarrassed himself . <eos>,The senator that the mechanics liked embarrassed himself .
60,liked,embed,local,1,c,rc_subj,number,banker,senators,embarrassed,himself,The banker that the senators liked embarrassed himself . <eos>,The banker that the senators liked embarrassed himself .
60,liked,embed,local,1,d,rc_subj,number,senator,bankers,embarrassed,himself,The senator that the bankers liked embarrassed himself . <eos>,The senator that the bankers liked embarrassed himself .
61,liked,embed,local,1,a,none,none,mechanic,senator,disguised,himself,The mechanic that the senator liked disguised himself . <eos>,The mechanic that the senator liked disguised himself .
61,liked,embed,local,1,b,none,none,senator,mechanic,disguised,himself,The senator that the mechanic liked disguised himself . <eos>,The senator that the mechanic liked disguised himself .
61,liked,embed,local,1,c,none,none,banker,senator,disguised,himself,The banker that the senator liked disguised himself . <eos>,The banker that the senator liked disguised himself .
61,liked,embed,local,1,d,none,none,senator,banker,disguised,himself,The senator that the banker liked disguised himself . <eos>,The senator that the banker liked disguised himself .
61,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,disguised,himself,The mechanics that the senator liked disguised himself . <eos>,The mechanics that the senator liked disguised himself .
61,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,disguised,himself,The senators that the mechanic liked disguised himself . <eos>,The senators that the mechanic liked disguised himself .
61,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,disguised,himself,The bankers that the senator liked disguised himself . <eos>,The bankers that the senator liked disguised himself .
61,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,disguised,himself,The senators that the banker liked disguised himself . <eos>,The senators that the banker liked disguised himself .
61,liked,embed,local,1,a,rc_subj,number,mechanic,senators,disguised,himself,The mechanic that the senators liked disguised himself . <eos>,The mechanic that the senators liked disguised himself .
61,liked,embed,local,1,b,rc_subj,number,senator,mechanics,disguised,himself,The senator that the mechanics liked disguised himself . <eos>,The senator that the mechanics liked disguised himself .
61,liked,embed,local,1,c,rc_subj,number,banker,senators,disguised,himself,The banker that the senators liked disguised himself . <eos>,The banker that the senators liked disguised himself .
61,liked,embed,local,1,d,rc_subj,number,senator,bankers,disguised,himself,The senator that the bankers liked disguised himself . <eos>,The senator that the bankers liked disguised himself .
62,liked,embed,local,1,a,none,none,mechanic,senator,hated,himself,The mechanic that the senator liked hated himself . <eos>,The mechanic that the senator liked hated himself .
62,liked,embed,local,1,b,none,none,senator,mechanic,hated,himself,The senator that the mechanic liked hated himself . <eos>,The senator that the mechanic liked hated himself .
62,liked,embed,local,1,c,none,none,banker,senator,hated,himself,The banker that the senator liked hated himself . <eos>,The banker that the senator liked hated himself .
62,liked,embed,local,1,d,none,none,senator,banker,hated,himself,The senator that the banker liked hated himself . <eos>,The senator that the banker liked hated himself .
62,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,hated,himself,The mechanics that the senator liked hated himself . <eos>,The mechanics that the senator liked hated himself .
62,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,hated,himself,The senators that the mechanic liked hated himself . <eos>,The senators that the mechanic liked hated himself .
62,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,hated,himself,The bankers that the senator liked hated himself . <eos>,The bankers that the senator liked hated himself .
62,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,hated,himself,The senators that the banker liked hated himself . <eos>,The senators that the banker liked hated himself .
62,liked,embed,local,1,a,rc_subj,number,mechanic,senators,hated,himself,The mechanic that the senators liked hated himself . <eos>,The mechanic that the senators liked hated himself .
62,liked,embed,local,1,b,rc_subj,number,senator,mechanics,hated,himself,The senator that the mechanics liked hated himself . <eos>,The senator that the mechanics liked hated himself .
62,liked,embed,local,1,c,rc_subj,number,banker,senators,hated,himself,The banker that the senators liked hated himself . <eos>,The banker that the senators liked hated himself .
62,liked,embed,local,1,d,rc_subj,number,senator,bankers,hated,himself,The senator that the bankers liked hated himself . <eos>,The senator that the bankers liked hated himself .
63,liked,embed,local,1,a,none,none,mechanic,senator,doubted,himself,The mechanic that the senator liked doubted himself . <eos>,The mechanic that the senator liked doubted himself .
63,liked,embed,local,1,b,none,none,senator,mechanic,doubted,himself,The senator that the mechanic liked doubted himself . <eos>,The senator that the mechanic liked doubted himself .
63,liked,embed,local,1,c,none,none,banker,senator,doubted,himself,The banker that the senator liked doubted himself . <eos>,The banker that the senator liked doubted himself .
63,liked,embed,local,1,d,none,none,senator,banker,doubted,himself,The senator that the banker liked doubted himself . <eos>,The senator that the banker liked doubted himself .
63,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,senator,doubted,himself,The mechanics that the senator liked doubted himself . <eos>,The mechanics that the senator liked doubted himself .
63,liked,embed,nonlocal,0,b,matrix_subj,number,senators,mechanic,doubted,himself,The senators that the mechanic liked doubted himself . <eos>,The senators that the mechanic liked doubted himself .
63,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,senator,doubted,himself,The bankers that the senator liked doubted himself . <eos>,The bankers that the senator liked doubted himself .
63,liked,embed,nonlocal,0,d,matrix_subj,number,senators,banker,doubted,himself,The senators that the banker liked doubted himself . <eos>,The senators that the banker liked doubted himself .
63,liked,embed,local,1,a,rc_subj,number,mechanic,senators,doubted,himself,The mechanic that the senators liked doubted himself . <eos>,The mechanic that the senators liked doubted himself .
63,liked,embed,local,1,b,rc_subj,number,senator,mechanics,doubted,himself,The senator that the mechanics liked doubted himself . <eos>,The senator that the mechanics liked doubted himself .
63,liked,embed,local,1,c,rc_subj,number,banker,senators,doubted,himself,The banker that the senators liked doubted himself . <eos>,The banker that the senators liked doubted himself .
63,liked,embed,local,1,d,rc_subj,number,senator,bankers,doubted,himself,The senator that the bankers liked doubted himself . <eos>,The senator that the bankers liked doubted himself .
64,liked,embed,local,1,a,none,none,mechanic,consultant,hurt,himself,The mechanic that the consultant liked hurt himself . <eos>,The mechanic that the consultant liked hurt himself .
64,liked,embed,local,1,b,none,none,consultant,mechanic,hurt,himself,The consultant that the mechanic liked hurt himself . <eos>,The consultant that the mechanic liked hurt himself .
64,liked,embed,local,1,c,none,none,banker,consultant,hurt,himself,The banker that the consultant liked hurt himself . <eos>,The banker that the consultant liked hurt himself .
64,liked,embed,local,1,d,none,none,consultant,banker,hurt,himself,The consultant that the banker liked hurt himself . <eos>,The consultant that the banker liked hurt himself .
64,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,consultant,hurt,himself,The mechanics that the consultant liked hurt himself . <eos>,The mechanics that the consultant liked hurt himself .
64,liked,embed,nonlocal,0,b,matrix_subj,number,consultants,mechanic,hurt,himself,The consultants that the mechanic liked hurt himself . <eos>,The consultants that the mechanic liked hurt himself .
64,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,consultant,hurt,himself,The bankers that the consultant liked hurt himself . <eos>,The bankers that the consultant liked hurt himself .
64,liked,embed,nonlocal,0,d,matrix_subj,number,consultants,banker,hurt,himself,The consultants that the banker liked hurt himself . <eos>,The consultants that the banker liked hurt himself .
64,liked,embed,local,1,a,rc_subj,number,mechanic,consultants,hurt,himself,The mechanic that the consultants liked hurt himself . <eos>,The mechanic that the consultants liked hurt himself .
64,liked,embed,local,1,b,rc_subj,number,consultant,mechanics,hurt,himself,The consultant that the mechanics liked hurt himself . <eos>,The consultant that the mechanics liked hurt himself .
64,liked,embed,local,1,c,rc_subj,number,banker,consultants,hurt,himself,The banker that the consultants liked hurt himself . <eos>,The banker that the consultants liked hurt himself .
64,liked,embed,local,1,d,rc_subj,number,consultant,bankers,hurt,himself,The consultant that the bankers liked hurt himself . <eos>,The consultant that the bankers liked hurt himself .
65,liked,embed,local,1,a,none,none,mechanic,consultant,injured,himself,The mechanic that the consultant liked injured himself . <eos>,The mechanic that the consultant liked injured himself .
65,liked,embed,local,1,b,none,none,consultant,mechanic,injured,himself,The consultant that the mechanic liked injured himself . <eos>,The consultant that the mechanic liked injured himself .
65,liked,embed,local,1,c,none,none,banker,consultant,injured,himself,The banker that the consultant liked injured himself . <eos>,The banker that the consultant liked injured himself .
65,liked,embed,local,1,d,none,none,consultant,banker,injured,himself,The consultant that the banker liked injured himself . <eos>,The consultant that the banker liked injured himself .
65,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,consultant,injured,himself,The mechanics that the consultant liked injured himself . <eos>,The mechanics that the consultant liked injured himself .
65,liked,embed,nonlocal,0,b,matrix_subj,number,consultants,mechanic,injured,himself,The consultants that the mechanic liked injured himself . <eos>,The consultants that the mechanic liked injured himself .
65,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,consultant,injured,himself,The bankers that the consultant liked injured himself . <eos>,The bankers that the consultant liked injured himself .
65,liked,embed,nonlocal,0,d,matrix_subj,number,consultants,banker,injured,himself,The consultants that the banker liked injured himself . <eos>,The consultants that the banker liked injured himself .
65,liked,embed,local,1,a,rc_subj,number,mechanic,consultants,injured,himself,The mechanic that the consultants liked injured himself . <eos>,The mechanic that the consultants liked injured himself .
65,liked,embed,local,1,b,rc_subj,number,consultant,mechanics,injured,himself,The consultant that the mechanics liked injured himself . <eos>,The consultant that the mechanics liked injured himself .
65,liked,embed,local,1,c,rc_subj,number,banker,consultants,injured,himself,The banker that the consultants liked injured himself . <eos>,The banker that the consultants liked injured himself .
65,liked,embed,local,1,d,rc_subj,number,consultant,bankers,injured,himself,The consultant that the bankers liked injured himself . <eos>,The consultant that the bankers liked injured himself .
