item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
33,simple,local,c-command,1,a,rc_subj,number,girl,women,devoted,herself,The girl that the women liked devoted herself . <eos>,The girl that the women liked devoted herself .
33,simple,local,c-command,1,b,rc_subj,number,woman,girls,devoted,herself,The woman that the girls liked devoted herself . <eos>,The woman that the girls liked devoted herself .
34,simple,local,c-command,1,a,none,none,girl,woman,considered,herself,The girl that the woman liked considered herself . <eos>,The girl that the woman liked considered herself .
34,simple,local,c-command,1,b,none,none,woman,girl,considered,herself,The woman that the girl liked considered herself . <eos>,The woman that the girl liked considered herself .
34,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,considered,herself,The girls that the woman liked considered herself . <eos>,The girls that the woman liked considered herself .
34,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,considered,herself,The women that the girl liked considered herself . <eos>,The women that the girl liked considered herself .
34,simple,local,c-command,1,a,rc_subj,number,girl,women,considered,herself,The girl that the women liked considered herself . <eos>,The girl that the women liked considered herself .
34,simple,local,c-command,1,b,rc_subj,number,woman,girls,considered,herself,The woman that the girls liked considered herself . <eos>,The woman that the girls liked considered herself .
35,simple,local,c-command,1,a,none,none,girl,woman,identified,herself,The girl that the woman liked identified herself . <eos>,The girl that the woman liked identified herself .
35,simple,local,c-command,1,b,none,none,woman,girl,identified,herself,The woman that the girl liked identified herself . <eos>,The woman that the girl liked identified herself .
35,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,identified,herself,The girls that the woman liked identified herself . <eos>,The girls that the woman liked identified herself .
35,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,identified,herself,The women that the girl liked identified herself . <eos>,The women that the girl liked identified herself .
35,simple,local,c-command,1,a,rc_subj,number,girl,women,identified,herself,The girl that the women liked identified herself . <eos>,The girl that the women liked identified herself .
35,simple,local,c-command,1,b,rc_subj,number,woman,girls,identified,herself,The woman that the girls liked identified herself . <eos>,The woman that the girls liked identified herself .
36,simple,local,c-command,1,a,none,none,girl,woman,made,herself,The girl that the woman liked made herself . <eos>,The girl that the woman liked made herself .
36,simple,local,c-command,1,b,none,none,woman,girl,made,herself,The woman that the girl liked made herself . <eos>,The woman that the girl liked made herself .
36,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,made,herself,The girls that the woman liked made herself . <eos>,The girls that the woman liked made herself .
36,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,made,herself,The women that the girl liked made herself . <eos>,The women that the girl liked made herself .
36,simple,local,c-command,1,a,rc_subj,number,girl,women,made,herself,The girl that the women liked made herself . <eos>,The girl that the women liked made herself .
36,simple,local,c-command,1,b,rc_subj,number,woman,girls,made,herself,The woman that the girls liked made herself . <eos>,The woman that the girls liked made herself .
37,simple,local,c-command,1,a,none,none,girl,woman,found,herself,The girl that the woman liked found herself . <eos>,The girl that the woman liked found herself .
37,simple,local,c-command,1,b,none,none,woman,girl,found,herself,The woman that the girl liked found herself . <eos>,The woman that the girl liked found herself .
37,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,found,herself,The girls that the woman liked found herself . <eos>,The girls that the woman liked found herself .
37,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,found,herself,The women that the girl liked found herself . <eos>,The women that the girl liked found herself .
37,simple,local,c-command,1,a,rc_subj,number,girl,women,found,herself,The girl that the women liked found herself . <eos>,The girl that the women liked found herself .
37,simple,local,c-command,1,b,rc_subj,number,woman,girls,found,herself,The woman that the girls liked found herself . <eos>,The woman that the girls liked found herself .
38,simple,local,c-command,1,a,none,none,girl,woman,distinguished,herself,The girl that the woman liked distinguished herself . <eos>,The girl that the woman liked distinguished herself .
38,simple,local,c-command,1,b,none,none,woman,girl,distinguished,herself,The woman that the girl liked distinguished herself . <eos>,The woman that the girl liked distinguished herself .
38,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,distinguished,herself,The girls that the woman liked distinguished herself . <eos>,The girls that the woman liked distinguished herself .
38,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,distinguished,herself,The women that the girl liked distinguished herself . <eos>,The women that the girl liked distinguished herself .
38,simple,local,c-command,1,a,rc_subj,number,girl,women,distinguished,herself,The girl that the women liked distinguished herself . <eos>,The girl that the women liked distinguished herself .
38,simple,local,c-command,1,b,rc_subj,number,woman,girls,distinguished,herself,The woman that the girls liked distinguished herself . <eos>,The woman that the girls liked distinguished herself .
39,simple,local,c-command,1,a,none,none,girl,woman,taught,herself,The girl that the woman liked taught herself . <eos>,The girl that the woman liked taught herself .
39,simple,local,c-command,1,b,none,none,woman,girl,taught,herself,The woman that the girl liked taught herself . <eos>,The woman that the girl liked taught herself .
39,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,taught,herself,The girls that the woman liked taught herself . <eos>,The girls that the woman liked taught herself .
39,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,taught,herself,The women that the girl liked taught herself . <eos>,The women that the girl liked taught herself .
39,simple,local,c-command,1,a,rc_subj,number,girl,women,taught,herself,The girl that the women liked taught herself . <eos>,The girl that the women liked taught herself .
39,simple,local,c-command,1,b,rc_subj,number,woman,girls,taught,herself,The woman that the girls liked taught herself . <eos>,The woman that the girls liked taught herself .
40,simple,local,c-command,1,a,none,none,girl,woman,killed,herself,The girl that the woman liked killed herself . <eos>,The girl that the woman liked killed herself .
40,simple,local,c-command,1,b,none,none,woman,girl,killed,herself,The woman that the girl liked killed herself . <eos>,The woman that the girl liked killed herself .
40,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,killed,herself,The girls that the woman liked killed herself . <eos>,The girls that the woman liked killed herself .
40,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,killed,herself,The women that the girl liked killed herself . <eos>,The women that the girl liked killed herself .
40,simple,local,c-command,1,a,rc_subj,number,girl,women,killed,herself,The girl that the women liked killed herself . <eos>,The girl that the women liked killed herself .
40,simple,local,c-command,1,b,rc_subj,number,woman,girls,killed,herself,The woman that the girls liked killed herself . <eos>,The woman that the girls liked killed herself .
41,simple,local,c-command,1,a,none,none,girl,woman,called,herself,The girl that the woman liked called herself . <eos>,The girl that the woman liked called herself .
41,simple,local,c-command,1,b,none,none,woman,girl,called,herself,The woman that the girl liked called herself . <eos>,The woman that the girl liked called herself .
41,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,called,herself,The girls that the woman liked called herself . <eos>,The girls that the woman liked called herself .
41,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,called,herself,The women that the girl liked called herself . <eos>,The women that the girl liked called herself .
41,simple,local,c-command,1,a,rc_subj,number,girl,women,called,herself,The girl that the women liked called herself . <eos>,The girl that the women liked called herself .
41,simple,local,c-command,1,b,rc_subj,number,woman,girls,called,herself,The woman that the girls liked called herself . <eos>,The woman that the girls liked called herself .
42,simple,local,c-command,1,a,none,none,girl,woman,dedicated,herself,The girl that the woman liked dedicated herself . <eos>,The girl that the woman liked dedicated herself .
42,simple,local,c-command,1,b,none,none,woman,girl,dedicated,herself,The woman that the girl liked dedicated herself . <eos>,The woman that the girl liked dedicated herself .
42,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,dedicated,herself,The girls that the woman liked dedicated herself . <eos>,The girls that the woman liked dedicated herself .
42,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,dedicated,herself,The women that the girl liked dedicated herself . <eos>,The women that the girl liked dedicated herself .
42,simple,local,c-command,1,a,rc_subj,number,girl,women,dedicated,herself,The girl that the women liked dedicated herself . <eos>,The girl that the women liked dedicated herself .
42,simple,local,c-command,1,b,rc_subj,number,woman,girls,dedicated,herself,The woman that the girls liked dedicated herself . <eos>,The woman that the girls liked dedicated herself .
43,simple,local,c-command,1,a,none,none,girl,woman,declared,herself,The girl that the woman liked declared herself . <eos>,The girl that the woman liked declared herself .
43,simple,local,c-command,1,b,none,none,woman,girl,declared,herself,The woman that the girl liked declared herself . <eos>,The woman that the girl liked declared herself .
43,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,declared,herself,The girls that the woman liked declared herself . <eos>,The girls that the woman liked declared herself .
43,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,declared,herself,The women that the girl liked declared herself . <eos>,The women that the girl liked declared herself .
43,simple,local,c-command,1,a,rc_subj,number,girl,women,declared,herself,The girl that the women liked declared herself . <eos>,The girl that the women liked declared herself .
43,simple,local,c-command,1,b,rc_subj,number,woman,girls,declared,herself,The woman that the girls liked declared herself . <eos>,The woman that the girls liked declared herself .
44,simple,local,c-command,1,a,none,none,girl,woman,proved,herself,The girl that the woman liked proved herself . <eos>,The girl that the woman liked proved herself .
44,simple,local,c-command,1,b,none,none,woman,girl,proved,herself,The woman that the girl liked proved herself . <eos>,The woman that the girl liked proved herself .
44,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,proved,herself,The girls that the woman liked proved herself . <eos>,The girls that the woman liked proved herself .
44,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,proved,herself,The women that the girl liked proved herself . <eos>,The women that the girl liked proved herself .
44,simple,local,c-command,1,a,rc_subj,number,girl,women,proved,herself,The girl that the women liked proved herself . <eos>,The girl that the women liked proved herself .
44,simple,local,c-command,1,b,rc_subj,number,woman,girls,proved,herself,The woman that the girls liked proved herself . <eos>,The woman that the girls liked proved herself .
45,simple,local,c-command,1,a,none,none,girl,woman,shot,herself,The girl that the woman liked shot herself . <eos>,The girl that the woman liked shot herself .
45,simple,local,c-command,1,b,none,none,woman,girl,shot,herself,The woman that the girl liked shot herself . <eos>,The woman that the girl liked shot herself .
45,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,shot,herself,The girls that the woman liked shot herself . <eos>,The girls that the woman liked shot herself .
45,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,shot,herself,The women that the girl liked shot herself . <eos>,The women that the girl liked shot herself .
45,simple,local,c-command,1,a,rc_subj,number,girl,women,shot,herself,The girl that the women liked shot herself . <eos>,The girl that the women liked shot herself .
45,simple,local,c-command,1,b,rc_subj,number,woman,girls,shot,herself,The woman that the girls liked shot herself . <eos>,The woman that the girls liked shot herself .
46,simple,local,c-command,1,a,none,none,girl,wife,saw,herself,The girl that the wife liked saw herself . <eos>,The girl that the wife liked saw herself .
46,simple,local,c-command,1,b,none,none,wife,girl,saw,herself,The wife that the girl liked saw herself . <eos>,The wife that the girl liked saw herself .
46,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,saw,herself,The girls that the wife liked saw herself . <eos>,The girls that the wife liked saw herself .
46,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,saw,herself,The wives that the girl liked saw herself . <eos>,The wives that the girl liked saw herself .
46,simple,local,c-command,1,a,rc_subj,number,girl,wives,saw,herself,The girl that the wives liked saw herself . <eos>,The girl that the wives liked saw herself .
46,simple,local,c-command,1,b,rc_subj,number,wife,girls,saw,herself,The wife that the girls liked saw herself . <eos>,The wife that the girls liked saw herself .
47,simple,local,c-command,1,a,none,none,girl,wife,established,herself,The girl that the wife liked established herself . <eos>,The girl that the wife liked established herself .
47,simple,local,c-command,1,b,none,none,wife,girl,established,herself,The wife that the girl liked established herself . <eos>,The wife that the girl liked established herself .
47,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,established,herself,The girls that the wife liked established herself . <eos>,The girls that the wife liked established herself .
47,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,established,herself,The wives that the girl liked established herself . <eos>,The wives that the girl liked established herself .
47,simple,local,c-command,1,a,rc_subj,number,girl,wives,established,herself,The girl that the wives liked established herself . <eos>,The girl that the wives liked established herself .
47,simple,local,c-command,1,b,rc_subj,number,wife,girls,established,herself,The wife that the girls liked established herself . <eos>,The wife that the girls liked established herself .
48,simple,local,c-command,1,a,none,none,girl,wife,devoted,herself,The girl that the wife liked devoted herself . <eos>,The girl that the wife liked devoted herself .
48,simple,local,c-command,1,b,none,none,wife,girl,devoted,herself,The wife that the girl liked devoted herself . <eos>,The wife that the girl liked devoted herself .
48,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,devoted,herself,The girls that the wife liked devoted herself . <eos>,The girls that the wife liked devoted herself .
48,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,devoted,herself,The wives that the girl liked devoted herself . <eos>,The wives that the girl liked devoted herself .
48,simple,local,c-command,1,a,rc_subj,number,girl,wives,devoted,herself,The girl that the wives liked devoted herself . <eos>,The girl that the wives liked devoted herself .
48,simple,local,c-command,1,b,rc_subj,number,wife,girls,devoted,herself,The wife that the girls liked devoted herself . <eos>,The wife that the girls liked devoted herself .
49,simple,local,c-command,1,a,none,none,girl,wife,considered,herself,The girl that the wife liked considered herself . <eos>,The girl that the wife liked considered herself .
49,simple,local,c-command,1,b,none,none,wife,girl,considered,herself,The wife that the girl liked considered herself . <eos>,The wife that the girl liked considered herself .
49,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,considered,herself,The girls that the wife liked considered herself . <eos>,The girls that the wife liked considered herself .
49,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,considered,herself,The wives that the girl liked considered herself . <eos>,The wives that the girl liked considered herself .
49,simple,local,c-command,1,a,rc_subj,number,girl,wives,considered,herself,The girl that the wives liked considered herself . <eos>,The girl that the wives liked considered herself .
49,simple,local,c-command,1,b,rc_subj,number,wife,girls,considered,herself,The wife that the girls liked considered herself . <eos>,The wife that the girls liked considered herself .
50,simple,local,c-command,1,a,none,none,girl,wife,identified,herself,The girl that the wife liked identified herself . <eos>,The girl that the wife liked identified herself .
50,simple,local,c-command,1,b,none,none,wife,girl,identified,herself,The wife that the girl liked identified herself . <eos>,The wife that the girl liked identified herself .
50,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,identified,herself,The girls that the wife liked identified herself . <eos>,The girls that the wife liked identified herself .
50,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,identified,herself,The wives that the girl liked identified herself . <eos>,The wives that the girl liked identified herself .
50,simple,local,c-command,1,a,rc_subj,number,girl,wives,identified,herself,The girl that the wives liked identified herself . <eos>,The girl that the wives liked identified herself .
50,simple,local,c-command,1,b,rc_subj,number,wife,girls,identified,herself,The wife that the girls liked identified herself . <eos>,The wife that the girls liked identified herself .
51,simple,local,c-command,1,a,none,none,girl,wife,made,herself,The girl that the wife liked made herself . <eos>,The girl that the wife liked made herself .
51,simple,local,c-command,1,b,none,none,wife,girl,made,herself,The wife that the girl liked made herself . <eos>,The wife that the girl liked made herself .
51,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,made,herself,The girls that the wife liked made herself . <eos>,The girls that the wife liked made herself .
51,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,made,herself,The wives that the girl liked made herself . <eos>,The wives that the girl liked made herself .
51,simple,local,c-command,1,a,rc_subj,number,girl,wives,made,herself,The girl that the wives liked made herself . <eos>,The girl that the wives liked made herself .
51,simple,local,c-command,1,b,rc_subj,number,wife,girls,made,herself,The wife that the girls liked made herself . <eos>,The wife that the girls liked made herself .
52,simple,local,c-command,1,a,none,none,girl,wife,found,herself,The girl that the wife liked found herself . <eos>,The girl that the wife liked found herself .
52,simple,local,c-command,1,b,none,none,wife,girl,found,herself,The wife that the girl liked found herself . <eos>,The wife that the girl liked found herself .
52,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,found,herself,The girls that the wife liked found herself . <eos>,The girls that the wife liked found herself .
52,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,found,herself,The wives that the girl liked found herself . <eos>,The wives that the girl liked found herself .
52,simple,local,c-command,1,a,rc_subj,number,girl,wives,found,herself,The girl that the wives liked found herself . <eos>,The girl that the wives liked found herself .
52,simple,local,c-command,1,b,rc_subj,number,wife,girls,found,herself,The wife that the girls liked found herself . <eos>,The wife that the girls liked found herself .
53,simple,local,c-command,1,a,none,none,girl,wife,distinguished,herself,The girl that the wife liked distinguished herself . <eos>,The girl that the wife liked distinguished herself .
53,simple,local,c-command,1,b,none,none,wife,girl,distinguished,herself,The wife that the girl liked distinguished herself . <eos>,The wife that the girl liked distinguished herself .
53,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,distinguished,herself,The girls that the wife liked distinguished herself . <eos>,The girls that the wife liked distinguished herself .
53,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,distinguished,herself,The wives that the girl liked distinguished herself . <eos>,The wives that the girl liked distinguished herself .
53,simple,local,c-command,1,a,rc_subj,number,girl,wives,distinguished,herself,The girl that the wives liked distinguished herself . <eos>,The girl that the wives liked distinguished herself .
53,simple,local,c-command,1,b,rc_subj,number,wife,girls,distinguished,herself,The wife that the girls liked distinguished herself . <eos>,The wife that the girls liked distinguished herself .
54,simple,local,c-command,1,a,none,none,girl,wife,taught,herself,The girl that the wife liked taught herself . <eos>,The girl that the wife liked taught herself .
54,simple,local,c-command,1,b,none,none,wife,girl,taught,herself,The wife that the girl liked taught herself . <eos>,The wife that the girl liked taught herself .
54,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,taught,herself,The girls that the wife liked taught herself . <eos>,The girls that the wife liked taught herself .
54,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,taught,herself,The wives that the girl liked taught herself . <eos>,The wives that the girl liked taught herself .
54,simple,local,c-command,1,a,rc_subj,number,girl,wives,taught,herself,The girl that the wives liked taught herself . <eos>,The girl that the wives liked taught herself .
54,simple,local,c-command,1,b,rc_subj,number,wife,girls,taught,herself,The wife that the girls liked taught herself . <eos>,The wife that the girls liked taught herself .
55,simple,local,c-command,1,a,none,none,girl,wife,killed,herself,The girl that the wife liked killed herself . <eos>,The girl that the wife liked killed herself .
55,simple,local,c-command,1,b,none,none,wife,girl,killed,herself,The wife that the girl liked killed herself . <eos>,The wife that the girl liked killed herself .
55,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,killed,herself,The girls that the wife liked killed herself . <eos>,The girls that the wife liked killed herself .
55,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,killed,herself,The wives that the girl liked killed herself . <eos>,The wives that the girl liked killed herself .
55,simple,local,c-command,1,a,rc_subj,number,girl,wives,killed,herself,The girl that the wives liked killed herself . <eos>,The girl that the wives liked killed herself .
55,simple,local,c-command,1,b,rc_subj,number,wife,girls,killed,herself,The wife that the girls liked killed herself . <eos>,The wife that the girls liked killed herself .
56,simple,local,c-command,1,a,none,none,girl,wife,called,herself,The girl that the wife liked called herself . <eos>,The girl that the wife liked called herself .
56,simple,local,c-command,1,b,none,none,wife,girl,called,herself,The wife that the girl liked called herself . <eos>,The wife that the girl liked called herself .
56,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,called,herself,The girls that the wife liked called herself . <eos>,The girls that the wife liked called herself .
56,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,called,herself,The wives that the girl liked called herself . <eos>,The wives that the girl liked called herself .
56,simple,local,c-command,1,a,rc_subj,number,girl,wives,called,herself,The girl that the wives liked called herself . <eos>,The girl that the wives liked called herself .
56,simple,local,c-command,1,b,rc_subj,number,wife,girls,called,herself,The wife that the girls liked called herself . <eos>,The wife that the girls liked called herself .
57,simple,local,c-command,1,a,none,none,girl,wife,dedicated,herself,The girl that the wife liked dedicated herself . <eos>,The girl that the wife liked dedicated herself .
57,simple,local,c-command,1,b,none,none,wife,girl,dedicated,herself,The wife that the girl liked dedicated herself . <eos>,The wife that the girl liked dedicated herself .
57,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,dedicated,herself,The girls that the wife liked dedicated herself . <eos>,The girls that the wife liked dedicated herself .
57,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,dedicated,herself,The wives that the girl liked dedicated herself . <eos>,The wives that the girl liked dedicated herself .
57,simple,local,c-command,1,a,rc_subj,number,girl,wives,dedicated,herself,The girl that the wives liked dedicated herself . <eos>,The girl that the wives liked dedicated herself .
57,simple,local,c-command,1,b,rc_subj,number,wife,girls,dedicated,herself,The wife that the girls liked dedicated herself . <eos>,The wife that the girls liked dedicated herself .
58,simple,local,c-command,1,a,none,none,girl,wife,declared,herself,The girl that the wife liked declared herself . <eos>,The girl that the wife liked declared herself .
58,simple,local,c-command,1,b,none,none,wife,girl,declared,herself,The wife that the girl liked declared herself . <eos>,The wife that the girl liked declared herself .
58,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,declared,herself,The girls that the wife liked declared herself . <eos>,The girls that the wife liked declared herself .
58,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,declared,herself,The wives that the girl liked declared herself . <eos>,The wives that the girl liked declared herself .
58,simple,local,c-command,1,a,rc_subj,number,girl,wives,declared,herself,The girl that the wives liked declared herself . <eos>,The girl that the wives liked declared herself .
58,simple,local,c-command,1,b,rc_subj,number,wife,girls,declared,herself,The wife that the girls liked declared herself . <eos>,The wife that the girls liked declared herself .
59,simple,local,c-command,1,a,none,none,girl,wife,proved,herself,The girl that the wife liked proved herself . <eos>,The girl that the wife liked proved herself .
59,simple,local,c-command,1,b,none,none,wife,girl,proved,herself,The wife that the girl liked proved herself . <eos>,The wife that the girl liked proved herself .
59,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,proved,herself,The girls that the wife liked proved herself . <eos>,The girls that the wife liked proved herself .
59,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,proved,herself,The wives that the girl liked proved herself . <eos>,The wives that the girl liked proved herself .
59,simple,local,c-command,1,a,rc_subj,number,girl,wives,proved,herself,The girl that the wives liked proved herself . <eos>,The girl that the wives liked proved herself .
59,simple,local,c-command,1,b,rc_subj,number,wife,girls,proved,herself,The wife that the girls liked proved herself . <eos>,The wife that the girls liked proved herself .
60,simple,local,c-command,1,a,none,none,girl,wife,shot,herself,The girl that the wife liked shot herself . <eos>,The girl that the wife liked shot herself .
60,simple,local,c-command,1,b,none,none,wife,girl,shot,herself,The wife that the girl liked shot herself . <eos>,The wife that the girl liked shot herself .
60,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,shot,herself,The girls that the wife liked shot herself . <eos>,The girls that the wife liked shot herself .
60,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,shot,herself,The wives that the girl liked shot herself . <eos>,The wives that the girl liked shot herself .
60,simple,local,c-command,1,a,rc_subj,number,girl,wives,shot,herself,The girl that the wives liked shot herself . <eos>,The girl that the wives liked shot herself .
60,simple,local,c-command,1,b,rc_subj,number,wife,girls,shot,herself,The wife that the girls liked shot herself . <eos>,The wife that the girls liked shot herself .
61,simple,local,c-command,1,a,none,none,girl,wife,saw,herself,The girl that the wife liked saw herself . <eos>,The girl that the wife liked saw herself .
61,simple,local,c-command,1,b,none,none,wife,girl,saw,herself,The wife that the girl liked saw herself . <eos>,The wife that the girl liked saw herself .
61,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,saw,herself,The girls that the wife liked saw herself . <eos>,The girls that the wife liked saw herself .
61,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,saw,herself,The wives that the girl liked saw herself . <eos>,The wives that the girl liked saw herself .
61,simple,local,c-command,1,a,rc_subj,number,girl,wives,saw,herself,The girl that the wives liked saw herself . <eos>,The girl that the wives liked saw herself .
61,simple,local,c-command,1,b,rc_subj,number,wife,girls,saw,herself,The wife that the girls liked saw herself . <eos>,The wife that the girls liked saw herself .
62,simple,local,c-command,1,a,none,none,girl,wife,established,herself,The girl that the wife liked established herself . <eos>,The girl that the wife liked established herself .
62,simple,local,c-command,1,b,none,none,wife,girl,established,herself,The wife that the girl liked established herself . <eos>,The wife that the girl liked established herself .
62,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,established,herself,The girls that the wife liked established herself . <eos>,The girls that the wife liked established herself .
62,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,established,herself,The wives that the girl liked established herself . <eos>,The wives that the girl liked established herself .
62,simple,local,c-command,1,a,rc_subj,number,girl,wives,established,herself,The girl that the wives liked established herself . <eos>,The girl that the wives liked established herself .
62,simple,local,c-command,1,b,rc_subj,number,wife,girls,established,herself,The wife that the girls liked established herself . <eos>,The wife that the girls liked established herself .
63,simple,local,c-command,1,a,none,none,girl,wife,devoted,herself,The girl that the wife liked devoted herself . <eos>,The girl that the wife liked devoted herself .
63,simple,local,c-command,1,b,none,none,wife,girl,devoted,herself,The wife that the girl liked devoted herself . <eos>,The wife that the girl liked devoted herself .
63,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,devoted,herself,The girls that the wife liked devoted herself . <eos>,The girls that the wife liked devoted herself .
63,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,devoted,herself,The wives that the girl liked devoted herself . <eos>,The wives that the girl liked devoted herself .
63,simple,local,c-command,1,a,rc_subj,number,girl,wives,devoted,herself,The girl that the wives liked devoted herself . <eos>,The girl that the wives liked devoted herself .
63,simple,local,c-command,1,b,rc_subj,number,wife,girls,devoted,herself,The wife that the girls liked devoted herself . <eos>,The wife that the girls liked devoted herself .
64,simple,local,c-command,1,a,none,none,girl,wife,considered,herself,The girl that the wife liked considered herself . <eos>,The girl that the wife liked considered herself .
64,simple,local,c-command,1,b,none,none,wife,girl,considered,herself,The wife that the girl liked considered herself . <eos>,The wife that the girl liked considered herself .
64,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,considered,herself,The girls that the wife liked considered herself . <eos>,The girls that the wife liked considered herself .
64,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,considered,herself,The wives that the girl liked considered herself . <eos>,The wives that the girl liked considered herself .
64,simple,local,c-command,1,a,rc_subj,number,girl,wives,considered,herself,The girl that the wives liked considered herself . <eos>,The girl that the wives liked considered herself .
64,simple,local,c-command,1,b,rc_subj,number,wife,girls,considered,herself,The wife that the girls liked considered herself . <eos>,The wife that the girls liked considered herself .
65,simple,local,c-command,1,a,none,none,girl,wife,identified,herself,The girl that the wife liked identified herself . <eos>,The girl that the wife liked identified herself .
65,simple,local,c-command,1,b,none,none,wife,girl,identified,herself,The wife that the girl liked identified herself . <eos>,The wife that the girl liked identified herself .
65,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,identified,herself,The girls that the wife liked identified herself . <eos>,The girls that the wife liked identified herself .
65,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,identified,herself,The wives that the girl liked identified herself . <eos>,The wives that the girl liked identified herself .
65,simple,local,c-command,1,a,rc_subj,number,girl,wives,identified,herself,The girl that the wives liked identified herself . <eos>,The girl that the wives liked identified herself .
65,simple,local,c-command,1,b,rc_subj,number,wife,girls,identified,herself,The wife that the girls liked identified herself . <eos>,The wife that the girls liked identified herself .
66,simple,local,c-command,1,a,none,none,girl,wife,made,herself,The girl that the wife liked made herself . <eos>,The girl that the wife liked made herself .
66,simple,local,c-command,1,b,none,none,wife,girl,made,herself,The wife that the girl liked made herself . <eos>,The wife that the girl liked made herself .
66,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,made,herself,The girls that the wife liked made herself . <eos>,The girls that the wife liked made herself .
66,simple,local,no-c-command,0,b,matrix_subj,number,wives,girl,made,herself,The wives that the girl liked made herself . <eos>,The wives that the girl liked made herself .
66,simple,local,c-command,1,a,rc_subj,number,girl,wives,made,herself,The girl that the wives liked made herself . <eos>,The girl that the wives liked made herself .
66,simple,local,c-command,1,b,rc_subj,number,wife,girls,made,herself,The wife that the girls liked made herself . <eos>,The wife that the girls liked made herself .
67,simple,local,c-command,1,a,none,none,girl,wife,found,herself,The girl that the wife liked found herself . <eos>,The girl that the wife liked found herself .
67,simple,local,c-command,1,b,none,none,wife,girl,found,herself,The wife that the girl liked found herself . <eos>,The wife that the girl liked found herself .
67,simple,local,no-c-command,0,a,matrix_subj,number,girls,wife,found,herself,The girls that the wife liked found herself . <eos>,The girls that the wife liked found herself .
