,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
153,26,embed,local,1,b,nonlocal_subj,number,sons,boy,called,himself,The sons said that the boy called himself . <eos>,The sons said that the boy called himself .,the sons said that the boy called ***mask*** .,5.113683650810735
154,26,embed,nonlocal,0,a,local_subj,number,boy,sons,called,himself,The boy said that the sons called himself . <eos>,The boy said that the sons called himself .,the boy said that the sons called ***mask*** .,8.89210418951782
155,26,embed,nonlocal,0,b,local_subj,number,son,boys,called,himself,The son said that the boys called himself . <eos>,The son said that the boys called himself .,the son said that the boys called ***mask*** .,9.655225016329128
156,27,embed,local,1,a,none,none,boy,son,dedicated,himself,The boy said that the son dedicated himself . <eos>,The boy said that the son dedicated himself .,the boy said that the son dedicated ***mask*** .,0.7423334868993261
157,27,embed,local,1,b,none,none,son,boy,dedicated,himself,The son said that the boy dedicated himself . <eos>,The son said that the boy dedicated himself .,the son said that the boy dedicated ***mask*** .,0.23705911978583685
158,27,embed,local,1,a,nonlocal_subj,number,boys,son,dedicated,himself,The boys said that the son dedicated himself . <eos>,The boys said that the son dedicated himself .,the boys said that the son dedicated ***mask*** .,0.39530007640484033
159,27,embed,local,1,b,nonlocal_subj,number,sons,boy,dedicated,himself,The sons said that the boy dedicated himself . <eos>,The sons said that the boy dedicated himself .,the sons said that the boy dedicated ***mask*** .,0.1589683040966429
160,27,embed,nonlocal,0,a,local_subj,number,boy,sons,dedicated,himself,The boy said that the sons dedicated himself . <eos>,The boy said that the sons dedicated himself .,the boy said that the sons dedicated ***mask*** .,6.6996024701145185
161,27,embed,nonlocal,0,b,local_subj,number,son,boys,dedicated,himself,The son said that the boys dedicated himself . <eos>,The son said that the boys dedicated himself .,the son said that the boys dedicated ***mask*** .,8.825044458287593
162,28,embed,local,1,a,none,none,boy,son,declared,himself,The boy said that the son declared himself . <eos>,The boy said that the son declared himself .,the boy said that the son declared ***mask*** .,3.1012486176481553
163,28,embed,local,1,b,none,none,son,boy,declared,himself,The son said that the boy declared himself . <eos>,The son said that the boy declared himself .,the son said that the boy declared ***mask*** .,2.819039793433322
164,28,embed,local,1,a,nonlocal_subj,number,boys,son,declared,himself,The boys said that the son declared himself . <eos>,The boys said that the son declared himself .,the boys said that the son declared ***mask*** .,3.2006614550808488
165,28,embed,local,1,b,nonlocal_subj,number,sons,boy,declared,himself,The sons said that the boy declared himself . <eos>,The sons said that the boy declared himself .,the sons said that the boy declared ***mask*** .,3.2846223701141013
166,28,embed,nonlocal,0,a,local_subj,number,boy,sons,declared,himself,The boy said that the sons declared himself . <eos>,The boy said that the sons declared himself .,the boy said that the sons declared ***mask*** .,10.168287527596537
167,28,embed,nonlocal,0,b,local_subj,number,son,boys,declared,himself,The son said that the boys declared himself . <eos>,The son said that the boys declared himself .,the son said that the boys declared ***mask*** .,8.694375452904078
168,29,embed,local,1,a,none,none,boy,son,proved,himself,The boy said that the son proved himself . <eos>,The boy said that the son proved himself .,the boy said that the son proved ***mask*** .,3.035929581078509
169,29,embed,local,1,b,none,none,son,boy,proved,himself,The son said that the boy proved himself . <eos>,The son said that the boy proved himself .,the son said that the boy proved ***mask*** .,2.999732247860423
170,29,embed,local,1,a,nonlocal_subj,number,boys,son,proved,himself,The boys said that the son proved himself . <eos>,The boys said that the son proved himself .,the boys said that the son proved ***mask*** .,3.9608928595708055
171,29,embed,local,1,b,nonlocal_subj,number,sons,boy,proved,himself,The sons said that the boy proved himself . <eos>,The sons said that the boy proved himself .,the sons said that the boy proved ***mask*** .,3.530173887347539
172,29,embed,nonlocal,0,a,local_subj,number,boy,sons,proved,himself,The boy said that the sons proved himself . <eos>,The boy said that the sons proved himself .,the boy said that the sons proved ***mask*** .,6.804789567741828
173,29,embed,nonlocal,0,b,local_subj,number,son,boys,proved,himself,The son said that the boys proved himself . <eos>,The son said that the boys proved himself .,the son said that the boys proved ***mask*** .,6.87613246071935
174,30,embed,local,1,a,none,none,boy,son,shot,himself,The boy said that the son shot himself . <eos>,The boy said that the son shot himself .,the boy said that the son shot ***mask*** .,3.637143445072704
175,30,embed,local,1,b,none,none,son,boy,shot,himself,The son said that the boy shot himself . <eos>,The son said that the boy shot himself .,the son said that the boy shot ***mask*** .,2.9762508911071075
176,30,embed,local,1,a,nonlocal_subj,number,boys,son,shot,himself,The boys said that the son shot himself . <eos>,The boys said that the son shot himself .,the boys said that the son shot ***mask*** .,2.2676245908217245
177,30,embed,local,1,b,nonlocal_subj,number,sons,boy,shot,himself,The sons said that the boy shot himself . <eos>,The sons said that the boy shot himself .,the sons said that the boy shot ***mask*** .,1.9519603723041339
178,30,embed,nonlocal,0,a,local_subj,number,boy,sons,shot,himself,The boy said that the sons shot himself . <eos>,The boy said that the sons shot himself .,the boy said that the sons shot ***mask*** .,7.947654342818648
179,30,embed,nonlocal,0,b,local_subj,number,son,boys,shot,himself,The son said that the boys shot himself . <eos>,The son said that the boys shot himself .,the son said that the boys shot ***mask*** .,7.121381192084758
180,31,embed,local,1,a,none,none,boy,man,saw,himself,The boy said that the man saw himself . <eos>,The boy said that the man saw himself .,the boy said that the man saw ***mask*** .,10.062973143421189
181,31,embed,local,1,b,none,none,man,boy,saw,himself,The man said that the boy saw himself . <eos>,The man said that the boy saw himself .,the man said that the boy saw ***mask*** .,10.15118692270963
182,31,embed,local,1,a,nonlocal_subj,number,boys,man,saw,himself,The boys said that the man saw himself . <eos>,The boys said that the man saw himself .,the boys said that the man saw ***mask*** .,9.737372476497807
183,31,embed,local,1,b,nonlocal_subj,number,men,boy,saw,himself,The men said that the boy saw himself . <eos>,The men said that the boy saw himself .,the men said that the boy saw ***mask*** .,9.828723313270928
184,31,embed,nonlocal,0,a,local_subj,number,boy,men,saw,himself,The boy said that the men saw himself . <eos>,The boy said that the men saw himself .,the boy said that the men saw ***mask*** .,13.467491517327916
185,31,embed,nonlocal,0,b,local_subj,number,man,boys,saw,himself,The man said that the boys saw himself . <eos>,The man said that the boys saw himself .,the man said that the boys saw ***mask*** .,13.943865733802756
186,32,embed,local,1,a,none,none,boy,man,established,himself,The boy said that the man established himself . <eos>,The boy said that the man established himself .,the boy said that the man established ***mask*** .,0.6293598138547158
187,32,embed,local,1,b,none,none,man,boy,established,himself,The man said that the boy established himself . <eos>,The man said that the boy established himself .,the man said that the boy established ***mask*** .,0.347506524586198
188,32,embed,local,1,a,nonlocal_subj,number,boys,man,established,himself,The boys said that the man established himself . <eos>,The boys said that the man established himself .,the boys said that the man established ***mask*** .,0.43530529945518387
189,32,embed,local,1,b,nonlocal_subj,number,men,boy,established,himself,The men said that the boy established himself . <eos>,The men said that the boy established himself .,the men said that the boy established ***mask*** .,0.33235394433659826
190,32,embed,nonlocal,0,a,local_subj,number,boy,men,established,himself,The boy said that the men established himself . <eos>,The boy said that the men established himself .,the boy said that the men established ***mask*** .,5.832937793886119
191,32,embed,nonlocal,0,b,local_subj,number,man,boys,established,himself,The man said that the boys established himself . <eos>,The man said that the boys established himself .,the man said that the boys established ***mask*** .,7.300402872429064
192,33,embed,local,1,a,none,none,boy,man,devoted,himself,The boy said that the man devoted himself . <eos>,The boy said that the man devoted himself .,the boy said that the man devoted ***mask*** .,0.31824922202858075
193,33,embed,local,1,b,none,none,man,boy,devoted,himself,The man said that the boy devoted himself . <eos>,The man said that the boy devoted himself .,the man said that the boy devoted ***mask*** .,0.27797934382997264
194,33,embed,local,1,a,nonlocal_subj,number,boys,man,devoted,himself,The boys said that the man devoted himself . <eos>,The boys said that the man devoted himself .,the boys said that the man devoted ***mask*** .,0.17228040900429756
195,33,embed,local,1,b,nonlocal_subj,number,men,boy,devoted,himself,The men said that the boy devoted himself . <eos>,The men said that the boy devoted himself .,the men said that the boy devoted ***mask*** .,0.1486121822590567
196,33,embed,nonlocal,0,a,local_subj,number,boy,men,devoted,himself,The boy said that the men devoted himself . <eos>,The boy said that the men devoted himself .,the boy said that the men devoted ***mask*** .,8.933522170834848
197,33,embed,nonlocal,0,b,local_subj,number,man,boys,devoted,himself,The man said that the boys devoted himself . <eos>,The man said that the boys devoted himself .,the man said that the boys devoted ***mask*** .,11.031087517039925
198,34,embed,local,1,a,none,none,boy,man,considered,himself,The boy said that the man considered himself . <eos>,The boy said that the man considered himself .,the boy said that the man considered ***mask*** .,8.0315121402746
199,34,embed,local,1,b,none,none,man,boy,considered,himself,The man said that the boy considered himself . <eos>,The man said that the boy considered himself .,the man said that the boy considered ***mask*** .,8.071393346427595
200,34,embed,local,1,a,nonlocal_subj,number,boys,man,considered,himself,The boys said that the man considered himself . <eos>,The boys said that the man considered himself .,the boys said that the man considered ***mask*** .,7.279480797932199
201,34,embed,local,1,b,nonlocal_subj,number,men,boy,considered,himself,The men said that the boy considered himself . <eos>,The men said that the boy considered himself .,the men said that the boy considered ***mask*** .,7.719348859546318
202,34,embed,nonlocal,0,a,local_subj,number,boy,men,considered,himself,The boy said that the men considered himself . <eos>,The boy said that the men considered himself .,the boy said that the men considered ***mask*** .,11.89187312218806
203,34,embed,nonlocal,0,b,local_subj,number,man,boys,considered,himself,The man said that the boys considered himself . <eos>,The man said that the boys considered himself .,the man said that the boys considered ***mask*** .,11.877145470441382
204,35,embed,local,1,a,none,none,boy,man,identified,himself,The boy said that the man identified himself . <eos>,The boy said that the man identified himself .,the boy said that the man identified ***mask*** .,0.6646608981113262
205,35,embed,local,1,b,none,none,man,boy,identified,himself,The man said that the boy identified himself . <eos>,The man said that the boy identified himself .,the man said that the boy identified ***mask*** .,0.5245938446917069
206,35,embed,local,1,a,nonlocal_subj,number,boys,man,identified,himself,The boys said that the man identified himself . <eos>,The boys said that the man identified himself .,the boys said that the man identified ***mask*** .,0.2903484120647578
207,35,embed,local,1,b,nonlocal_subj,number,men,boy,identified,himself,The men said that the boy identified himself . <eos>,The men said that the boy identified himself .,the men said that the boy identified ***mask*** .,0.42858179642571304
208,35,embed,nonlocal,0,a,local_subj,number,boy,men,identified,himself,The boy said that the men identified himself . <eos>,The boy said that the men identified himself .,the boy said that the men identified ***mask*** .,5.018851628621905
209,35,embed,nonlocal,0,b,local_subj,number,man,boys,identified,himself,The man said that the boys identified himself . <eos>,The man said that the boys identified himself .,the man said that the boys identified ***mask*** .,5.889258322727446
210,36,embed,local,1,a,none,none,boy,man,made,himself,The boy said that the man made himself . <eos>,The boy said that the man made himself .,the boy said that the man made ***mask*** .,9.161159629225615
211,36,embed,local,1,b,none,none,man,boy,made,himself,The man said that the boy made himself . <eos>,The man said that the boy made himself .,the man said that the boy made ***mask*** .,10.207671200230441
212,36,embed,local,1,a,nonlocal_subj,number,boys,man,made,himself,The boys said that the man made himself . <eos>,The boys said that the man made himself .,the boys said that the man made ***mask*** .,9.768677288425204
213,36,embed,local,1,b,nonlocal_subj,number,men,boy,made,himself,The men said that the boy made himself . <eos>,The men said that the boy made himself .,the men said that the boy made ***mask*** .,10.249175986473768
214,36,embed,nonlocal,0,a,local_subj,number,boy,men,made,himself,The boy said that the men made himself . <eos>,The boy said that the men made himself .,the boy said that the men made ***mask*** .,13.627616202185422
215,36,embed,nonlocal,0,b,local_subj,number,man,boys,made,himself,The man said that the boys made himself . <eos>,The man said that the boys made himself .,the man said that the boys made ***mask*** .,15.671381220884513
216,37,embed,local,1,a,none,none,boy,man,found,himself,The boy said that the man found himself . <eos>,The boy said that the man found himself .,the boy said that the man found ***mask*** .,9.59717879680916
217,37,embed,local,1,b,none,none,man,boy,found,himself,The man said that the boy found himself . <eos>,The man said that the boy found himself .,the man said that the boy found ***mask*** .,8.533009101078719
218,37,embed,local,1,a,nonlocal_subj,number,boys,man,found,himself,The boys said that the man found himself . <eos>,The boys said that the man found himself .,the boys said that the man found ***mask*** .,8.917890437772067
219,37,embed,local,1,b,nonlocal_subj,number,men,boy,found,himself,The men said that the boy found himself . <eos>,The men said that the boy found himself .,the men said that the boy found ***mask*** .,7.883640490375164
220,37,embed,nonlocal,0,a,local_subj,number,boy,men,found,himself,The boy said that the men found himself . <eos>,The boy said that the men found himself .,the boy said that the men found ***mask*** .,12.908629990634273
221,37,embed,nonlocal,0,b,local_subj,number,man,boys,found,himself,The man said that the boys found himself . <eos>,The man said that the boys found himself .,the man said that the boys found ***mask*** .,12.680160184452623
222,38,embed,local,1,a,none,none,boy,man,distinguished,himself,The boy said that the man distinguished himself . <eos>,The boy said that the man distinguished himself .,the boy said that the man distinguished ***mask*** .,0.02576494526711196
223,38,embed,local,1,b,none,none,man,boy,distinguished,himself,The man said that the boy distinguished himself . <eos>,The man said that the boy distinguished himself .,the man said that the boy distinguished ***mask*** .,0.05262524490274389
224,38,embed,local,1,a,nonlocal_subj,number,boys,man,distinguished,himself,The boys said that the man distinguished himself . <eos>,The boys said that the man distinguished himself .,the boys said that the man distinguished ***mask*** .,0.015032800546112678
225,38,embed,local,1,b,nonlocal_subj,number,men,boy,distinguished,himself,The men said that the boy distinguished himself . <eos>,The men said that the boy distinguished himself .,the men said that the boy distinguished ***mask*** .,0.04488348761420707
226,38,embed,nonlocal,0,a,local_subj,number,boy,men,distinguished,himself,The boy said that the men distinguished himself . <eos>,The boy said that the men distinguished himself .,the boy said that the men distinguished ***mask*** .,8.381504489053857
227,38,embed,nonlocal,0,b,local_subj,number,man,boys,distinguished,himself,The man said that the boys distinguished himself . <eos>,The man said that the boys distinguished himself .,the man said that the boys distinguished ***mask*** .,10.732097763622749
228,39,embed,local,1,a,none,none,boy,man,taught,himself,The boy said that the man taught himself . <eos>,The boy said that the man taught himself .,the boy said that the man taught ***mask*** .,9.086326601724155
229,39,embed,local,1,b,none,none,man,boy,taught,himself,The man said that the boy taught himself . <eos>,The man said that the boy taught himself .,the man said that the boy taught ***mask*** .,7.981508937464632
230,39,embed,local,1,a,nonlocal_subj,number,boys,man,taught,himself,The boys said that the man taught himself . <eos>,The boys said that the man taught himself .,the boys said that the man taught ***mask*** .,9.593304512980312
231,39,embed,local,1,b,nonlocal_subj,number,men,boy,taught,himself,The men said that the boy taught himself . <eos>,The men said that the boy taught himself .,the men said that the boy taught ***mask*** .,7.66380714936826
232,39,embed,nonlocal,0,a,local_subj,number,boy,men,taught,himself,The boy said that the men taught himself . <eos>,The boy said that the men taught himself .,the boy said that the men taught ***mask*** .,11.321643685116472
233,39,embed,nonlocal,0,b,local_subj,number,man,boys,taught,himself,The man said that the boys taught himself . <eos>,The man said that the boys taught himself .,the man said that the boys taught ***mask*** .,8.824577912206854
234,40,embed,local,1,a,none,none,boy,man,killed,himself,The boy said that the man killed himself . <eos>,The boy said that the man killed himself .,the boy said that the man killed ***mask*** .,3.1739335689330606
235,40,embed,local,1,b,none,none,man,boy,killed,himself,The man said that the boy killed himself . <eos>,The man said that the boy killed himself .,the man said that the boy killed ***mask*** .,2.997539994896284
236,40,embed,local,1,a,nonlocal_subj,number,boys,man,killed,himself,The boys said that the man killed himself . <eos>,The boys said that the man killed himself .,the boys said that the man killed ***mask*** .,2.2842700499736335
237,40,embed,local,1,b,nonlocal_subj,number,men,boy,killed,himself,The men said that the boy killed himself . <eos>,The men said that the boy killed himself .,the men said that the boy killed ***mask*** .,2.6763243819116203
238,40,embed,nonlocal,0,a,local_subj,number,boy,men,killed,himself,The boy said that the men killed himself . <eos>,The boy said that the men killed himself .,the boy said that the men killed ***mask*** .,7.3358052381767305
239,40,embed,nonlocal,0,b,local_subj,number,man,boys,killed,himself,The man said that the boys killed himself . <eos>,The man said that the boys killed himself .,the man said that the boys killed ***mask*** .,6.586602427091449
240,41,embed,local,1,a,none,none,boy,man,called,himself,The boy said that the man called himself . <eos>,The boy said that the man called himself .,the boy said that the man called ***mask*** .,5.560644653979223
241,41,embed,local,1,b,none,none,man,boy,called,himself,The man said that the boy called himself . <eos>,The man said that the boy called himself .,the man said that the boy called ***mask*** .,5.887767322230385
242,41,embed,local,1,a,nonlocal_subj,number,boys,man,called,himself,The boys said that the man called himself . <eos>,The boys said that the man called himself .,the boys said that the man called ***mask*** .,4.877302474816919
243,41,embed,local,1,b,nonlocal_subj,number,men,boy,called,himself,The men said that the boy called himself . <eos>,The men said that the boy called himself .,the men said that the boy called ***mask*** .,5.762492418845316
244,41,embed,nonlocal,0,a,local_subj,number,boy,men,called,himself,The boy said that the men called himself . <eos>,The boy said that the men called himself .,the boy said that the men called ***mask*** .,9.029210988015473
245,41,embed,nonlocal,0,b,local_subj,number,man,boys,called,himself,The man said that the boys called himself . <eos>,The man said that the boys called himself .,the man said that the boys called ***mask*** .,9.972346888850694
246,42,embed,local,1,a,none,none,boy,man,dedicated,himself,The boy said that the man dedicated himself . <eos>,The boy said that the man dedicated himself .,the boy said that the man dedicated ***mask*** .,0.10846129618861759
247,42,embed,local,1,b,none,none,man,boy,dedicated,himself,The man said that the boy dedicated himself . <eos>,The man said that the boy dedicated himself .,the man said that the boy dedicated ***mask*** .,0.12343134539918706
248,42,embed,local,1,a,nonlocal_subj,number,boys,man,dedicated,himself,The boys said that the man dedicated himself . <eos>,The boys said that the man dedicated himself .,the boys said that the man dedicated ***mask*** .,0.05507270916979296
249,42,embed,local,1,b,nonlocal_subj,number,men,boy,dedicated,himself,The men said that the boy dedicated himself . <eos>,The men said that the boy dedicated himself .,the men said that the boy dedicated ***mask*** .,0.06375351010985585
250,42,embed,nonlocal,0,a,local_subj,number,boy,men,dedicated,himself,The boy said that the men dedicated himself . <eos>,The boy said that the men dedicated himself .,the boy said that the men dedicated ***mask*** .,8.330482650326106
251,42,embed,nonlocal,0,b,local_subj,number,man,boys,dedicated,himself,The man said that the boys dedicated himself . <eos>,The man said that the boys dedicated himself .,the man said that the boys dedicated ***mask*** .,10.989270956342038
252,43,embed,local,1,a,none,none,boy,man,declared,himself,The boy said that the man declared himself . <eos>,The boy said that the man declared himself .,the boy said that the man declared ***mask*** .,2.9806390136885983
253,43,embed,local,1,b,none,none,man,boy,declared,himself,The man said that the boy declared himself . <eos>,The man said that the boy declared himself .,the man said that the boy declared ***mask*** .,2.87984139817613
254,43,embed,local,1,a,nonlocal_subj,number,boys,man,declared,himself,The boys said that the man declared himself . <eos>,The boys said that the man declared himself .,the boys said that the man declared ***mask*** .,2.7533615925460513
255,43,embed,local,1,b,nonlocal_subj,number,men,boy,declared,himself,The men said that the boy declared himself . <eos>,The men said that the boy declared himself .,the men said that the boy declared ***mask*** .,3.0177131275676
256,43,embed,nonlocal,0,a,local_subj,number,boy,men,declared,himself,The boy said that the men declared himself . <eos>,The boy said that the men declared himself .,the boy said that the men declared ***mask*** .,10.927904696020908
257,43,embed,nonlocal,0,b,local_subj,number,man,boys,declared,himself,The man said that the boys declared himself . <eos>,The man said that the boys declared himself .,the man said that the boys declared ***mask*** .,9.900988716583994
258,44,embed,local,1,a,none,none,boy,man,proved,himself,The boy said that the man proved himself . <eos>,The boy said that the man proved himself .,the boy said that the man proved ***mask*** .,2.8573883893972067
259,44,embed,local,1,b,none,none,man,boy,proved,himself,The man said that the boy proved himself . <eos>,The man said that the boy proved himself .,the man said that the boy proved ***mask*** .,2.621762569604964
260,44,embed,local,1,a,nonlocal_subj,number,boys,man,proved,himself,The boys said that the man proved himself . <eos>,The boys said that the man proved himself .,the boys said that the man proved ***mask*** .,3.074151680640753
261,44,embed,local,1,b,nonlocal_subj,number,men,boy,proved,himself,The men said that the boy proved himself . <eos>,The men said that the boy proved himself .,the men said that the boy proved ***mask*** .,3.1423389992535333
262,44,embed,nonlocal,0,a,local_subj,number,boy,men,proved,himself,The boy said that the men proved himself . <eos>,The boy said that the men proved himself .,the boy said that the men proved ***mask*** .,6.790335882702582
263,44,embed,nonlocal,0,b,local_subj,number,man,boys,proved,himself,The man said that the boys proved himself . <eos>,The man said that the boys proved himself .,the man said that the boys proved ***mask*** .,6.176794106166172
264,45,embed,local,1,a,none,none,boy,man,shot,himself,The boy said that the man shot himself . <eos>,The boy said that the man shot himself .,the boy said that the man shot ***mask*** .,4.127074548367639
265,45,embed,local,1,b,none,none,man,boy,shot,himself,The man said that the boy shot himself . <eos>,The man said that the boy shot himself .,the man said that the boy shot ***mask*** .,4.034066645726159
266,45,embed,local,1,a,nonlocal_subj,number,boys,man,shot,himself,The boys said that the man shot himself . <eos>,The boys said that the man shot himself .,the boys said that the man shot ***mask*** .,2.4651871648933557
267,45,embed,local,1,b,nonlocal_subj,number,men,boy,shot,himself,The men said that the boy shot himself . <eos>,The men said that the boy shot himself .,the men said that the boy shot ***mask*** .,2.417099553699153
268,45,embed,nonlocal,0,a,local_subj,number,boy,men,shot,himself,The boy said that the men shot himself . <eos>,The boy said that the men shot himself .,the boy said that the men shot ***mask*** .,8.0629738620449
269,45,embed,nonlocal,0,b,local_subj,number,man,boys,shot,himself,The man said that the boys shot himself . <eos>,The man said that the boys shot himself .,the man said that the boys shot ***mask*** .,8.291214785161532
270,46,embed,local,1,a,none,none,boy,actor,saw,himself,The boy said that the actor saw himself . <eos>,The boy said that the actor saw himself .,the boy said that the actor saw ***mask*** .,7.4724336291155335
271,46,embed,local,1,b,none,none,actor,boy,saw,himself,The actor said that the boy saw himself . <eos>,The actor said that the boy saw himself .,the actor said that the boy saw ***mask*** .,8.069236859631454
272,46,embed,local,1,a,nonlocal_subj,number,boys,actor,saw,himself,The boys said that the actor saw himself . <eos>,The boys said that the actor saw himself .,the boys said that the actor saw ***mask*** .,7.626060881425731
273,46,embed,local,1,b,nonlocal_subj,number,actors,boy,saw,himself,The actors said that the boy saw himself . <eos>,The actors said that the boy saw himself .,the actors said that the boy saw ***mask*** .,7.879233414154411
274,46,embed,nonlocal,0,a,local_subj,number,boy,actors,saw,himself,The boy said that the actors saw himself . <eos>,The boy said that the actors saw himself .,the boy said that the actors saw ***mask*** .,11.148574435395433
275,46,embed,nonlocal,0,b,local_subj,number,actor,boys,saw,himself,The actor said that the boys saw himself . <eos>,The actor said that the boys saw himself .,the actor said that the boys saw ***mask*** .,11.834753778870995
276,47,embed,local,1,a,none,none,boy,actor,established,himself,The boy said that the actor established himself . <eos>,The boy said that the actor established himself .,the boy said that the actor established ***mask*** .,0.10151107291203948
277,47,embed,local,1,b,none,none,actor,boy,established,himself,The actor said that the boy established himself . <eos>,The actor said that the boy established himself .,the actor said that the boy established ***mask*** .,0.12898329306981546
278,47,embed,local,1,a,nonlocal_subj,number,boys,actor,established,himself,The boys said that the actor established himself . <eos>,The boys said that the actor established himself .,the boys said that the actor established ***mask*** .,0.12720668458784326
279,47,embed,local,1,b,nonlocal_subj,number,actors,boy,established,himself,The actors said that the boy established himself . <eos>,The actors said that the boy established himself .,the actors said that the boy established ***mask*** .,0.19356493779581657
280,47,embed,nonlocal,0,a,local_subj,number,boy,actors,established,himself,The boy said that the actors established himself . <eos>,The boy said that the actors established himself .,the boy said that the actors established ***mask*** .,6.804911098793707
281,47,embed,nonlocal,0,b,local_subj,number,actor,boys,established,himself,The actor said that the boys established himself . <eos>,The actor said that the boys established himself .,the actor said that the boys established ***mask*** .,7.845228699953793
282,48,embed,local,1,a,none,none,boy,actor,devoted,himself,The boy said that the actor devoted himself . <eos>,The boy said that the actor devoted himself .,the boy said that the actor devoted ***mask*** .,0.18179856730527566
283,48,embed,local,1,b,none,none,actor,boy,devoted,himself,The actor said that the boy devoted himself . <eos>,The actor said that the boy devoted himself .,the actor said that the boy devoted ***mask*** .,0.25027979334676315
284,48,embed,local,1,a,nonlocal_subj,number,boys,actor,devoted,himself,The boys said that the actor devoted himself . <eos>,The boys said that the actor devoted himself .,the boys said that the actor devoted ***mask*** .,0.12160532960980121
285,48,embed,local,1,b,nonlocal_subj,number,actors,boy,devoted,himself,The actors said that the boy devoted himself . <eos>,The actors said that the boy devoted himself .,the actors said that the boy devoted ***mask*** .,0.24719715903802117
286,48,embed,nonlocal,0,a,local_subj,number,boy,actors,devoted,himself,The boy said that the actors devoted himself . <eos>,The boy said that the actors devoted himself .,the boy said that the actors devoted ***mask*** .,8.524140922820955
287,48,embed,nonlocal,0,b,local_subj,number,actor,boys,devoted,himself,The actor said that the boys devoted himself . <eos>,The actor said that the boys devoted himself .,the actor said that the boys devoted ***mask*** .,9.61838457348541
288,49,embed,local,1,a,none,none,boy,actor,considered,himself,The boy said that the actor considered himself . <eos>,The boy said that the actor considered himself .,the boy said that the actor considered ***mask*** .,7.505121471322518
289,49,embed,local,1,b,none,none,actor,boy,considered,himself,The actor said that the boy considered himself . <eos>,The actor said that the boy considered himself .,the actor said that the boy considered ***mask*** .,7.310069084217268
290,49,embed,local,1,a,nonlocal_subj,number,boys,actor,considered,himself,The boys said that the actor considered himself . <eos>,The boys said that the actor considered himself .,the boys said that the actor considered ***mask*** .,6.842974324237577
291,49,embed,local,1,b,nonlocal_subj,number,actors,boy,considered,himself,The actors said that the boy considered himself . <eos>,The actors said that the boy considered himself .,the actors said that the boy considered ***mask*** .,6.808981160321443
292,49,embed,nonlocal,0,a,local_subj,number,boy,actors,considered,himself,The boy said that the actors considered himself . <eos>,The boy said that the actors considered himself .,the boy said that the actors considered ***mask*** .,10.548400365834429
293,49,embed,nonlocal,0,b,local_subj,number,actor,boys,considered,himself,The actor said that the boys considered himself . <eos>,The actor said that the boys considered himself .,the actor said that the boys considered ***mask*** .,10.501987163920628
294,50,embed,local,1,a,none,none,boy,actor,identified,himself,The boy said that the actor identified himself . <eos>,The boy said that the actor identified himself .,the boy said that the actor identified ***mask*** .,0.5067604573849749
295,50,embed,local,1,b,none,none,actor,boy,identified,himself,The actor said that the boy identified himself . <eos>,The actor said that the boy identified himself .,the actor said that the boy identified ***mask*** .,0.26553896052770515
296,50,embed,local,1,a,nonlocal_subj,number,boys,actor,identified,himself,The boys said that the actor identified himself . <eos>,The boys said that the actor identified himself .,the boys said that the actor identified ***mask*** .,0.411943068760964
297,50,embed,local,1,b,nonlocal_subj,number,actors,boy,identified,himself,The actors said that the boy identified himself . <eos>,The actors said that the boy identified himself .,the actors said that the boy identified ***mask*** .,0.3678931687313985
298,50,embed,nonlocal,0,a,local_subj,number,boy,actors,identified,himself,The boy said that the actors identified himself . <eos>,The boy said that the actors identified himself .,the boy said that the actors identified ***mask*** .,4.517567449354926
299,50,embed,nonlocal,0,b,local_subj,number,actor,boys,identified,himself,The actor said that the boys identified himself . <eos>,The actor said that the boys identified himself .,the actor said that the boys identified ***mask*** .,5.413779020671367
300,51,embed,local,1,a,none,none,boy,actor,made,himself,The boy said that the actor made himself . <eos>,The boy said that the actor made himself .,the boy said that the actor made ***mask*** .,10.15159090991775
301,51,embed,local,1,b,none,none,actor,boy,made,himself,The actor said that the boy made himself . <eos>,The actor said that the boy made himself .,the actor said that the boy made ***mask*** .,10.194232318728229
302,51,embed,local,1,a,nonlocal_subj,number,boys,actor,made,himself,The boys said that the actor made himself . <eos>,The boys said that the actor made himself .,the boys said that the actor made ***mask*** .,9.868590761609388
303,51,embed,local,1,b,nonlocal_subj,number,actors,boy,made,himself,The actors said that the boy made himself . <eos>,The actors said that the boy made himself .,the actors said that the boy made ***mask*** .,10.614412583919192
304,51,embed,nonlocal,0,a,local_subj,number,boy,actors,made,himself,The boy said that the actors made himself . <eos>,The boy said that the actors made himself .,the boy said that the actors made ***mask*** .,14.852296337576428
305,51,embed,nonlocal,0,b,local_subj,number,actor,boys,made,himself,The actor said that the boys made himself . <eos>,The actor said that the boys made himself .,the actor said that the boys made ***mask*** .,16.6234885185061
306,52,embed,local,1,a,none,none,boy,actor,found,himself,The boy said that the actor found himself . <eos>,The boy said that the actor found himself .,the boy said that the actor found ***mask*** .,4.972512747721608
307,52,embed,local,1,b,none,none,actor,boy,found,himself,The actor said that the boy found himself . <eos>,The actor said that the boy found himself .,the actor said that the boy found ***mask*** .,5.285026638834199
