,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
143,24,simple,local,c-command,1,b,rc_subj,number,son,boys,taught,himself,The son that the boys liked taught himself . <eos>,The son that the boys liked taught himself .,the son that the boys liked taught ***mask*** .,8.328504392256129
144,25,simple,local,c-command,1,a,none,none,boy,son,killed,himself,The boy that the son liked killed himself . <eos>,The boy that the son liked killed himself .,the boy that the son liked killed ***mask*** .,3.3742152531920055
145,25,simple,local,c-command,1,b,none,none,son,boy,killed,himself,The son that the boy liked killed himself . <eos>,The son that the boy liked killed himself .,the son that the boy liked killed ***mask*** .,3.1265513814728676
146,25,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,killed,himself,The boys that the son liked killed himself . <eos>,The boys that the son liked killed himself .,the boys that the son liked killed ***mask*** .,6.390871885982627
147,25,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,killed,himself,The sons that the boy liked killed himself . <eos>,The sons that the boy liked killed himself .,the sons that the boy liked killed ***mask*** .,6.559160226626992
148,25,simple,local,c-command,1,a,rc_subj,number,boy,sons,killed,himself,The boy that the sons liked killed himself . <eos>,The boy that the sons liked killed himself .,the boy that the sons liked killed ***mask*** .,3.3726404551549596
149,25,simple,local,c-command,1,b,rc_subj,number,son,boys,killed,himself,The son that the boys liked killed himself . <eos>,The son that the boys liked killed himself .,the son that the boys liked killed ***mask*** .,2.827535102751089
150,26,simple,local,c-command,1,a,none,none,boy,son,called,himself,The boy that the son liked called himself . <eos>,The boy that the son liked called himself .,the boy that the son liked called ***mask*** .,6.77752154076579
151,26,simple,local,c-command,1,b,none,none,son,boy,called,himself,The son that the boy liked called himself . <eos>,The son that the boy liked called himself .,the son that the boy liked called ***mask*** .,7.735940168153103
152,26,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,called,himself,The boys that the son liked called himself . <eos>,The boys that the son liked called himself .,the boys that the son liked called ***mask*** .,6.226376118703119
153,26,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,called,himself,The sons that the boy liked called himself . <eos>,The sons that the boy liked called himself .,the sons that the boy liked called ***mask*** .,5.235014751790885
154,26,simple,local,c-command,1,a,rc_subj,number,boy,sons,called,himself,The boy that the sons liked called himself . <eos>,The boy that the sons liked called himself .,the boy that the sons liked called ***mask*** .,7.64618941317695
155,26,simple,local,c-command,1,b,rc_subj,number,son,boys,called,himself,The son that the boys liked called himself . <eos>,The son that the boys liked called himself .,the son that the boys liked called ***mask*** .,8.7392811340067
156,27,simple,local,c-command,1,a,none,none,boy,son,dedicated,himself,The boy that the son liked dedicated himself . <eos>,The boy that the son liked dedicated himself .,the boy that the son liked dedicated ***mask*** .,13.512903598074754
157,27,simple,local,c-command,1,b,none,none,son,boy,dedicated,himself,The son that the boy liked dedicated himself . <eos>,The son that the boy liked dedicated himself .,the son that the boy liked dedicated ***mask*** .,15.29198028980767
158,27,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,dedicated,himself,The boys that the son liked dedicated himself . <eos>,The boys that the son liked dedicated himself .,the boys that the son liked dedicated ***mask*** .,14.539388375152923
159,27,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,dedicated,himself,The sons that the boy liked dedicated himself . <eos>,The sons that the boy liked dedicated himself .,the sons that the boy liked dedicated ***mask*** .,14.504432095513215
160,27,simple,local,c-command,1,a,rc_subj,number,boy,sons,dedicated,himself,The boy that the sons liked dedicated himself . <eos>,The boy that the sons liked dedicated himself .,the boy that the sons liked dedicated ***mask*** .,14.936722110842185
161,27,simple,local,c-command,1,b,rc_subj,number,son,boys,dedicated,himself,The son that the boys liked dedicated himself . <eos>,The son that the boys liked dedicated himself .,the son that the boys liked dedicated ***mask*** .,15.679752810489958
162,28,simple,local,c-command,1,a,none,none,boy,son,declared,himself,The boy that the son liked declared himself . <eos>,The boy that the son liked declared himself .,the boy that the son liked declared ***mask*** .,1.9055203620614016
163,28,simple,local,c-command,1,b,none,none,son,boy,declared,himself,The son that the boy liked declared himself . <eos>,The son that the boy liked declared himself .,the son that the boy liked declared ***mask*** .,1.712178013604331
164,28,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,declared,himself,The boys that the son liked declared himself . <eos>,The boys that the son liked declared himself .,the boys that the son liked declared ***mask*** .,7.176005527909943
165,28,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,declared,himself,The sons that the boy liked declared himself . <eos>,The sons that the boy liked declared himself .,the sons that the boy liked declared ***mask*** .,6.792800641849031
166,28,simple,local,c-command,1,a,rc_subj,number,boy,sons,declared,himself,The boy that the sons liked declared himself . <eos>,The boy that the sons liked declared himself .,the boy that the sons liked declared ***mask*** .,2.2132222751102546
167,28,simple,local,c-command,1,b,rc_subj,number,son,boys,declared,himself,The son that the boys liked declared himself . <eos>,The son that the boys liked declared himself .,the son that the boys liked declared ***mask*** .,1.88917725394467
168,29,simple,local,c-command,1,a,none,none,boy,son,proved,himself,The boy that the son liked proved himself . <eos>,The boy that the son liked proved himself .,the boy that the son liked proved ***mask*** .,6.806396437244345
169,29,simple,local,c-command,1,b,none,none,son,boy,proved,himself,The son that the boy liked proved himself . <eos>,The son that the boy liked proved himself .,the son that the boy liked proved ***mask*** .,7.421446026694261
170,29,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,proved,himself,The boys that the son liked proved himself . <eos>,The boys that the son liked proved himself .,the boys that the son liked proved ***mask*** .,8.611620025735286
171,29,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,proved,himself,The sons that the boy liked proved himself . <eos>,The sons that the boy liked proved himself .,the sons that the boy liked proved ***mask*** .,8.65379686024871
172,29,simple,local,c-command,1,a,rc_subj,number,boy,sons,proved,himself,The boy that the sons liked proved himself . <eos>,The boy that the sons liked proved himself .,the boy that the sons liked proved ***mask*** .,6.936038514559163
173,29,simple,local,c-command,1,b,rc_subj,number,son,boys,proved,himself,The son that the boys liked proved himself . <eos>,The son that the boys liked proved himself .,the son that the boys liked proved ***mask*** .,7.7827762074845985
174,30,simple,local,c-command,1,a,none,none,boy,son,shot,himself,The boy that the son liked shot himself . <eos>,The boy that the son liked shot himself .,the boy that the son liked shot ***mask*** .,4.410790853877369
175,30,simple,local,c-command,1,b,none,none,son,boy,shot,himself,The son that the boy liked shot himself . <eos>,The son that the boy liked shot himself .,the son that the boy liked shot ***mask*** .,5.54460379229293
176,30,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,shot,himself,The boys that the son liked shot himself . <eos>,The boys that the son liked shot himself .,the boys that the son liked shot ***mask*** .,6.782325644155469
177,30,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,shot,himself,The sons that the boy liked shot himself . <eos>,The sons that the boy liked shot himself .,the sons that the boy liked shot ***mask*** .,6.041715545749853
178,30,simple,local,c-command,1,a,rc_subj,number,boy,sons,shot,himself,The boy that the sons liked shot himself . <eos>,The boy that the sons liked shot himself .,the boy that the sons liked shot ***mask*** .,4.647252978584009
179,30,simple,local,c-command,1,b,rc_subj,number,son,boys,shot,himself,The son that the boys liked shot himself . <eos>,The son that the boys liked shot himself .,the son that the boys liked shot ***mask*** .,7.196392578236804
180,31,simple,local,c-command,1,a,none,none,boy,man,saw,himself,The boy that the man liked saw himself . <eos>,The boy that the man liked saw himself .,the boy that the man liked saw ***mask*** .,8.34777110680254
181,31,simple,local,c-command,1,b,none,none,man,boy,saw,himself,The man that the boy liked saw himself . <eos>,The man that the boy liked saw himself .,the man that the boy liked saw ***mask*** .,8.074820012737328
182,31,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,saw,himself,The boys that the man liked saw himself . <eos>,The boys that the man liked saw himself .,the boys that the man liked saw ***mask*** .,11.8176380803423
183,31,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,saw,himself,The men that the boy liked saw himself . <eos>,The men that the boy liked saw himself .,the men that the boy liked saw ***mask*** .,10.659928381581773
184,31,simple,local,c-command,1,a,rc_subj,number,boy,men,saw,himself,The boy that the men liked saw himself . <eos>,The boy that the men liked saw himself .,the boy that the men liked saw ***mask*** .,8.364446708782292
185,31,simple,local,c-command,1,b,rc_subj,number,man,boys,saw,himself,The man that the boys liked saw himself . <eos>,The man that the boys liked saw himself .,the man that the boys liked saw ***mask*** .,8.163168535865687
186,32,simple,local,c-command,1,a,none,none,boy,man,established,himself,The boy that the man liked established himself . <eos>,The boy that the man liked established himself .,the boy that the man liked established ***mask*** .,0.6359003536727283
187,32,simple,local,c-command,1,b,none,none,man,boy,established,himself,The man that the boy liked established himself . <eos>,The man that the boy liked established himself .,the man that the boy liked established ***mask*** .,0.19809591054908035
188,32,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,established,himself,The boys that the man liked established himself . <eos>,The boys that the man liked established himself .,the boys that the man liked established ***mask*** .,3.6436849213442413
189,32,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,established,himself,The men that the boy liked established himself . <eos>,The men that the boy liked established himself .,the men that the boy liked established ***mask*** .,4.2690774786743235
190,32,simple,local,c-command,1,a,rc_subj,number,boy,men,established,himself,The boy that the men liked established himself . <eos>,The boy that the men liked established himself .,the boy that the men liked established ***mask*** .,2.3893106843994416
191,32,simple,local,c-command,1,b,rc_subj,number,man,boys,established,himself,The man that the boys liked established himself . <eos>,The man that the boys liked established himself .,the man that the boys liked established ***mask*** .,1.8741033715148596
192,33,simple,local,c-command,1,a,none,none,boy,man,devoted,himself,The boy that the man liked devoted himself . <eos>,The boy that the man liked devoted himself .,the boy that the man liked devoted ***mask*** .,16.580735818256663
193,33,simple,local,c-command,1,b,none,none,man,boy,devoted,himself,The man that the boy liked devoted himself . <eos>,The man that the boy liked devoted himself .,the man that the boy liked devoted ***mask*** .,16.674522151115276
194,33,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,devoted,himself,The boys that the man liked devoted himself . <eos>,The boys that the man liked devoted himself .,the boys that the man liked devoted ***mask*** .,17.245332856288936
195,33,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,devoted,himself,The men that the boy liked devoted himself . <eos>,The men that the boy liked devoted himself .,the men that the boy liked devoted ***mask*** .,16.774743423694275
196,33,simple,local,c-command,1,a,rc_subj,number,boy,men,devoted,himself,The boy that the men liked devoted himself . <eos>,The boy that the men liked devoted himself .,the boy that the men liked devoted ***mask*** .,17.980807016628816
197,33,simple,local,c-command,1,b,rc_subj,number,man,boys,devoted,himself,The man that the boys liked devoted himself . <eos>,The man that the boys liked devoted himself .,the man that the boys liked devoted ***mask*** .,18.356489798251356
198,34,simple,local,c-command,1,a,none,none,boy,man,considered,himself,The boy that the man liked considered himself . <eos>,The boy that the man liked considered himself .,the boy that the man liked considered ***mask*** .,4.62687478238831
199,34,simple,local,c-command,1,b,none,none,man,boy,considered,himself,The man that the boy liked considered himself . <eos>,The man that the boy liked considered himself .,the man that the boy liked considered ***mask*** .,4.3119621061196725
200,34,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,considered,himself,The boys that the man liked considered himself . <eos>,The boys that the man liked considered himself .,the boys that the man liked considered ***mask*** .,8.11538591901905
201,34,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,considered,himself,The men that the boy liked considered himself . <eos>,The men that the boy liked considered himself .,the men that the boy liked considered ***mask*** .,8.18284301034541
202,34,simple,local,c-command,1,a,rc_subj,number,boy,men,considered,himself,The boy that the men liked considered himself . <eos>,The boy that the men liked considered himself .,the boy that the men liked considered ***mask*** .,4.529868808482004
203,34,simple,local,c-command,1,b,rc_subj,number,man,boys,considered,himself,The man that the boys liked considered himself . <eos>,The man that the boys liked considered himself .,the man that the boys liked considered ***mask*** .,4.4547673010605795
204,35,simple,local,c-command,1,a,none,none,boy,man,identified,himself,The boy that the man liked identified himself . <eos>,The boy that the man liked identified himself .,the boy that the man liked identified ***mask*** .,1.54255048215596
205,35,simple,local,c-command,1,b,none,none,man,boy,identified,himself,The man that the boy liked identified himself . <eos>,The man that the boy liked identified himself .,the man that the boy liked identified ***mask*** .,1.4065955407667112
206,35,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,identified,himself,The boys that the man liked identified himself . <eos>,The boys that the man liked identified himself .,the boys that the man liked identified ***mask*** .,4.040633070909777
207,35,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,identified,himself,The men that the boy liked identified himself . <eos>,The men that the boy liked identified himself .,the men that the boy liked identified ***mask*** .,4.886774018278856
208,35,simple,local,c-command,1,a,rc_subj,number,boy,men,identified,himself,The boy that the men liked identified himself . <eos>,The boy that the men liked identified himself .,the boy that the men liked identified ***mask*** .,5.067846806811744
209,35,simple,local,c-command,1,b,rc_subj,number,man,boys,identified,himself,The man that the boys liked identified himself . <eos>,The man that the boys liked identified himself .,the man that the boys liked identified ***mask*** .,3.5234168153752434
210,36,simple,local,c-command,1,a,none,none,boy,man,made,himself,The boy that the man liked made himself . <eos>,The boy that the man liked made himself .,the boy that the man liked made ***mask*** .,11.451228762331652
211,36,simple,local,c-command,1,b,none,none,man,boy,made,himself,The man that the boy liked made himself . <eos>,The man that the boy liked made himself .,the man that the boy liked made ***mask*** .,13.336311501927321
212,36,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,made,himself,The boys that the man liked made himself . <eos>,The boys that the man liked made himself .,the boys that the man liked made ***mask*** .,12.60784847631068
213,36,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,made,himself,The men that the boy liked made himself . <eos>,The men that the boy liked made himself .,the men that the boy liked made ***mask*** .,13.468427924647164
214,36,simple,local,c-command,1,a,rc_subj,number,boy,men,made,himself,The boy that the men liked made himself . <eos>,The boy that the men liked made himself .,the boy that the men liked made ***mask*** .,11.33507264266309
215,36,simple,local,c-command,1,b,rc_subj,number,man,boys,made,himself,The man that the boys liked made himself . <eos>,The man that the boys liked made himself .,the man that the boys liked made ***mask*** .,14.231111809937309
216,37,simple,local,c-command,1,a,none,none,boy,man,found,himself,The boy that the man liked found himself . <eos>,The boy that the man liked found himself .,the boy that the man liked found ***mask*** .,5.550089545202646
217,37,simple,local,c-command,1,b,none,none,man,boy,found,himself,The man that the boy liked found himself . <eos>,The man that the boy liked found himself .,the man that the boy liked found ***mask*** .,4.975190555418252
218,37,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,found,himself,The boys that the man liked found himself . <eos>,The boys that the man liked found himself .,the boys that the man liked found ***mask*** .,9.537280445453794
219,37,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,found,himself,The men that the boy liked found himself . <eos>,The men that the boy liked found himself .,the men that the boy liked found ***mask*** .,8.157707977494054
220,37,simple,local,c-command,1,a,rc_subj,number,boy,men,found,himself,The boy that the men liked found himself . <eos>,The boy that the men liked found himself .,the boy that the men liked found ***mask*** .,5.716698521279547
221,37,simple,local,c-command,1,b,rc_subj,number,man,boys,found,himself,The man that the boys liked found himself . <eos>,The man that the boys liked found himself .,the man that the boys liked found ***mask*** .,4.954320981697535
222,38,simple,local,c-command,1,a,none,none,boy,man,distinguished,himself,The boy that the man liked distinguished himself . <eos>,The boy that the man liked distinguished himself .,the boy that the man liked distinguished ***mask*** .,2.1035411090269593
223,38,simple,local,c-command,1,b,none,none,man,boy,distinguished,himself,The man that the boy liked distinguished himself . <eos>,The man that the boy liked distinguished himself .,the man that the boy liked distinguished ***mask*** .,0.7014270966243041
224,38,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,distinguished,himself,The boys that the man liked distinguished himself . <eos>,The boys that the man liked distinguished himself .,the boys that the man liked distinguished ***mask*** .,5.767827668786356
225,38,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,distinguished,himself,The men that the boy liked distinguished himself . <eos>,The men that the boy liked distinguished himself .,the men that the boy liked distinguished ***mask*** .,4.425927622109144
226,38,simple,local,c-command,1,a,rc_subj,number,boy,men,distinguished,himself,The boy that the men liked distinguished himself . <eos>,The boy that the men liked distinguished himself .,the boy that the men liked distinguished ***mask*** .,3.5383183523666935
227,38,simple,local,c-command,1,b,rc_subj,number,man,boys,distinguished,himself,The man that the boys liked distinguished himself . <eos>,The man that the boys liked distinguished himself .,the man that the boys liked distinguished ***mask*** .,2.7518517863352994
228,39,simple,local,c-command,1,a,none,none,boy,man,taught,himself,The boy that the man liked taught himself . <eos>,The boy that the man liked taught himself .,the boy that the man liked taught ***mask*** .,10.04661221239686
229,39,simple,local,c-command,1,b,none,none,man,boy,taught,himself,The man that the boy liked taught himself . <eos>,The man that the boy liked taught himself .,the man that the boy liked taught ***mask*** .,9.7324563268261
230,39,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,taught,himself,The boys that the man liked taught himself . <eos>,The boys that the man liked taught himself .,the boys that the man liked taught ***mask*** .,10.395784553017101
231,39,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,taught,himself,The men that the boy liked taught himself . <eos>,The men that the boy liked taught himself .,the men that the boy liked taught ***mask*** .,11.442755196540201
232,39,simple,local,c-command,1,a,rc_subj,number,boy,men,taught,himself,The boy that the men liked taught himself . <eos>,The boy that the men liked taught himself .,the boy that the men liked taught ***mask*** .,10.947873784892437
233,39,simple,local,c-command,1,b,rc_subj,number,man,boys,taught,himself,The man that the boys liked taught himself . <eos>,The man that the boys liked taught himself .,the man that the boys liked taught ***mask*** .,12.412664944084822
234,40,simple,local,c-command,1,a,none,none,boy,man,killed,himself,The boy that the man liked killed himself . <eos>,The boy that the man liked killed himself .,the boy that the man liked killed ***mask*** .,3.3005624684988106
235,40,simple,local,c-command,1,b,none,none,man,boy,killed,himself,The man that the boy liked killed himself . <eos>,The man that the boy liked killed himself .,the man that the boy liked killed ***mask*** .,3.1592212121783176
236,40,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,killed,himself,The boys that the man liked killed himself . <eos>,The boys that the man liked killed himself .,the boys that the man liked killed ***mask*** .,6.075562775956398
237,40,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,killed,himself,The men that the boy liked killed himself . <eos>,The men that the boy liked killed himself .,the men that the boy liked killed ***mask*** .,7.2639862653837985
238,40,simple,local,c-command,1,a,rc_subj,number,boy,men,killed,himself,The boy that the men liked killed himself . <eos>,The boy that the men liked killed himself .,the boy that the men liked killed ***mask*** .,3.4962261742194505
239,40,simple,local,c-command,1,b,rc_subj,number,man,boys,killed,himself,The man that the boys liked killed himself . <eos>,The man that the boys liked killed himself .,the man that the boys liked killed ***mask*** .,2.8311839101371854
240,41,simple,local,c-command,1,a,none,none,boy,man,called,himself,The boy that the man liked called himself . <eos>,The boy that the man liked called himself .,the boy that the man liked called ***mask*** .,6.41518082527376
241,41,simple,local,c-command,1,b,none,none,man,boy,called,himself,The man that the boy liked called himself . <eos>,The man that the boy liked called himself .,the man that the boy liked called ***mask*** .,4.9523290514022085
242,41,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,called,himself,The boys that the man liked called himself . <eos>,The boys that the man liked called himself .,the boys that the man liked called ***mask*** .,5.629989925283123
243,41,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,called,himself,The men that the boy liked called himself . <eos>,The men that the boy liked called himself .,the men that the boy liked called ***mask*** .,5.943802710373506
244,41,simple,local,c-command,1,a,rc_subj,number,boy,men,called,himself,The boy that the men liked called himself . <eos>,The boy that the men liked called himself .,the boy that the men liked called ***mask*** .,7.632163765617643
245,41,simple,local,c-command,1,b,rc_subj,number,man,boys,called,himself,The man that the boys liked called himself . <eos>,The man that the boys liked called himself .,the man that the boys liked called ***mask*** .,6.586785033688506
246,42,simple,local,c-command,1,a,none,none,boy,man,dedicated,himself,The boy that the man liked dedicated himself . <eos>,The boy that the man liked dedicated himself .,the boy that the man liked dedicated ***mask*** .,15.565860484681796
247,42,simple,local,c-command,1,b,none,none,man,boy,dedicated,himself,The man that the boy liked dedicated himself . <eos>,The man that the boy liked dedicated himself .,the man that the boy liked dedicated ***mask*** .,16.03202621408587
248,42,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,dedicated,himself,The boys that the man liked dedicated himself . <eos>,The boys that the man liked dedicated himself .,the boys that the man liked dedicated ***mask*** .,17.273511047216243
249,42,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,dedicated,himself,The men that the boy liked dedicated himself . <eos>,The men that the boy liked dedicated himself .,the men that the boy liked dedicated ***mask*** .,16.815223457711095
250,42,simple,local,c-command,1,a,rc_subj,number,boy,men,dedicated,himself,The boy that the men liked dedicated himself . <eos>,The boy that the men liked dedicated himself .,the boy that the men liked dedicated ***mask*** .,17.487231813059104
251,42,simple,local,c-command,1,b,rc_subj,number,man,boys,dedicated,himself,The man that the boys liked dedicated himself . <eos>,The man that the boys liked dedicated himself .,the man that the boys liked dedicated ***mask*** .,18.25066513857662
252,43,simple,local,c-command,1,a,none,none,boy,man,declared,himself,The boy that the man liked declared himself . <eos>,The boy that the man liked declared himself .,the boy that the man liked declared ***mask*** .,1.782930076175902
253,43,simple,local,c-command,1,b,none,none,man,boy,declared,himself,The man that the boy liked declared himself . <eos>,The man that the boy liked declared himself .,the man that the boy liked declared ***mask*** .,1.5746460328832446
254,43,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,declared,himself,The boys that the man liked declared himself . <eos>,The boys that the man liked declared himself .,the boys that the man liked declared ***mask*** .,7.332640885074986
255,43,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,declared,himself,The men that the boy liked declared himself . <eos>,The men that the boy liked declared himself .,the men that the boy liked declared ***mask*** .,6.559378041386155
256,43,simple,local,c-command,1,a,rc_subj,number,boy,men,declared,himself,The boy that the men liked declared himself . <eos>,The boy that the men liked declared himself .,the boy that the men liked declared ***mask*** .,1.392121477978551
257,43,simple,local,c-command,1,b,rc_subj,number,man,boys,declared,himself,The man that the boys liked declared himself . <eos>,The man that the boys liked declared himself .,the man that the boys liked declared ***mask*** .,1.2809076513007913
258,44,simple,local,c-command,1,a,none,none,boy,man,proved,himself,The boy that the man liked proved himself . <eos>,The boy that the man liked proved himself .,the boy that the man liked proved ***mask*** .,6.98723942111437
259,44,simple,local,c-command,1,b,none,none,man,boy,proved,himself,The man that the boy liked proved himself . <eos>,The man that the boy liked proved himself .,the man that the boy liked proved ***mask*** .,7.081474195189473
260,44,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,proved,himself,The boys that the man liked proved himself . <eos>,The boys that the man liked proved himself .,the boys that the man liked proved ***mask*** .,8.445757204279584
261,44,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,proved,himself,The men that the boy liked proved himself . <eos>,The men that the boy liked proved himself .,the men that the boy liked proved ***mask*** .,8.236198625186132
262,44,simple,local,c-command,1,a,rc_subj,number,boy,men,proved,himself,The boy that the men liked proved himself . <eos>,The boy that the men liked proved himself .,the boy that the men liked proved ***mask*** .,7.49570652986216
263,44,simple,local,c-command,1,b,rc_subj,number,man,boys,proved,himself,The man that the boys liked proved himself . <eos>,The man that the boys liked proved himself .,the man that the boys liked proved ***mask*** .,7.497632638538236
264,45,simple,local,c-command,1,a,none,none,boy,man,shot,himself,The boy that the man liked shot himself . <eos>,The boy that the man liked shot himself .,the boy that the man liked shot ***mask*** .,4.239634143533579
265,45,simple,local,c-command,1,b,none,none,man,boy,shot,himself,The man that the boy liked shot himself . <eos>,The man that the boy liked shot himself .,the man that the boy liked shot ***mask*** .,4.309725630217686
266,45,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,shot,himself,The boys that the man liked shot himself . <eos>,The boys that the man liked shot himself .,the boys that the man liked shot ***mask*** .,7.416901619157897
267,45,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,shot,himself,The men that the boy liked shot himself . <eos>,The men that the boy liked shot himself .,the men that the boy liked shot ***mask*** .,7.032157574909624
268,45,simple,local,c-command,1,a,rc_subj,number,boy,men,shot,himself,The boy that the men liked shot himself . <eos>,The boy that the men liked shot himself .,the boy that the men liked shot ***mask*** .,4.173072867212183
269,45,simple,local,c-command,1,b,rc_subj,number,man,boys,shot,himself,The man that the boys liked shot himself . <eos>,The man that the boys liked shot himself .,the man that the boys liked shot ***mask*** .,3.93309997752538
270,46,simple,local,c-command,1,a,none,none,boy,actor,saw,himself,The boy that the actor liked saw himself . <eos>,The boy that the actor liked saw himself .,the boy that the actor liked saw ***mask*** .,7.857721362309624
271,46,simple,local,c-command,1,b,none,none,actor,boy,saw,himself,The actor that the boy liked saw himself . <eos>,The actor that the boy liked saw himself .,the actor that the boy liked saw ***mask*** .,6.918780385667988
272,46,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,saw,himself,The boys that the actor liked saw himself . <eos>,The boys that the actor liked saw himself .,the boys that the actor liked saw ***mask*** .,10.910858937091277
273,46,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,saw,himself,The actors that the boy liked saw himself . <eos>,The actors that the boy liked saw himself .,the actors that the boy liked saw ***mask*** .,9.767073375212414
274,46,simple,local,c-command,1,a,rc_subj,number,boy,actors,saw,himself,The boy that the actors liked saw himself . <eos>,The boy that the actors liked saw himself .,the boy that the actors liked saw ***mask*** .,7.893557985663784
275,46,simple,local,c-command,1,b,rc_subj,number,actor,boys,saw,himself,The actor that the boys liked saw himself . <eos>,The actor that the boys liked saw himself .,the actor that the boys liked saw ***mask*** .,6.560233399588184
276,47,simple,local,c-command,1,a,none,none,boy,actor,established,himself,The boy that the actor liked established himself . <eos>,The boy that the actor liked established himself .,the boy that the actor liked established ***mask*** .,1.1453500594150088
277,47,simple,local,c-command,1,b,none,none,actor,boy,established,himself,The actor that the boy liked established himself . <eos>,The actor that the boy liked established himself .,the actor that the boy liked established ***mask*** .,0.6189856083477685
278,47,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,established,himself,The boys that the actor liked established himself . <eos>,The boys that the actor liked established himself .,the boys that the actor liked established ***mask*** .,2.767434005103244
279,47,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,established,himself,The actors that the boy liked established himself . <eos>,The actors that the boy liked established himself .,the actors that the boy liked established ***mask*** .,3.4205297152359093
280,47,simple,local,c-command,1,a,rc_subj,number,boy,actors,established,himself,The boy that the actors liked established himself . <eos>,The boy that the actors liked established himself .,the boy that the actors liked established ***mask*** .,9.357903674067218
281,47,simple,local,c-command,1,b,rc_subj,number,actor,boys,established,himself,The actor that the boys liked established himself . <eos>,The actor that the boys liked established himself .,the actor that the boys liked established ***mask*** .,1.0419174604552675
282,48,simple,local,c-command,1,a,none,none,boy,actor,devoted,himself,The boy that the actor liked devoted himself . <eos>,The boy that the actor liked devoted himself .,the boy that the actor liked devoted ***mask*** .,15.213071156692045
283,48,simple,local,c-command,1,b,none,none,actor,boy,devoted,himself,The actor that the boy liked devoted himself . <eos>,The actor that the boy liked devoted himself .,the actor that the boy liked devoted ***mask*** .,13.076452166903328
284,48,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,devoted,himself,The boys that the actor liked devoted himself . <eos>,The boys that the actor liked devoted himself .,the boys that the actor liked devoted ***mask*** .,13.28817162733627
285,48,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,devoted,himself,The actors that the boy liked devoted himself . <eos>,The actors that the boy liked devoted himself .,the actors that the boy liked devoted ***mask*** .,14.551496480531164
286,48,simple,local,c-command,1,a,rc_subj,number,boy,actors,devoted,himself,The boy that the actors liked devoted himself . <eos>,The boy that the actors liked devoted himself .,the boy that the actors liked devoted ***mask*** .,16.852066125603898
287,48,simple,local,c-command,1,b,rc_subj,number,actor,boys,devoted,himself,The actor that the boys liked devoted himself . <eos>,The actor that the boys liked devoted himself .,the actor that the boys liked devoted ***mask*** .,11.541187026136509
288,49,simple,local,c-command,1,a,none,none,boy,actor,considered,himself,The boy that the actor liked considered himself . <eos>,The boy that the actor liked considered himself .,the boy that the actor liked considered ***mask*** .,6.321303803970523
